response_id,student_id,question_id,assessment_id,is_correct,response_date
RESP00039,STU003,Q001-09,ASS001,0,2024-09-15
RESP00040,STU003,Q001-10,ASS001,0,2024-09-15
RESP00041,STU003,Q001-11,ASS001,0,2024-09-15
RESP00042,STU003,Q001-12,ASS001,0,2024-09-15
RESP00043,STU003,Q001-13,ASS001,1,2024-09-15
RESP00044,STU003,Q001-14,ASS001,0,2024-09-15
RESP00045,STU003,Q001-15,ASS001,1,2024-09-15
RESP00046,STU004,Q001-01,ASS001,1,2024-09-15
RESP00047,STU004,Q001-02,ASS001,1,2024-09-15
RESP00048,STU004,Q001-02,ASS001,1,2024-09-15
RESP00049,STU004,Q001-03,ASS001,1,2024-09-15
RESP00050,STU004,Q001-04,ASS001,1,2024-09-15
RESP00051,STU004,Q001-05,ASS001,0,2024-09-15
RESP00052,STU004,Q001-06,ASS001,1,2024-09-15
RESP00053,STU004,Q001-07,ASS001,1,2024-09-15
RESP00054,STU004,Q001-08,ASS001,1,2024-09-15
RESP00055,STU004,Q001-09,ASS001,1,2024-09-15
RESP00056,STU004,Q001-10,ASS001,1,2024-09-15
RESP00057,STU004,Q001-11,ASS001,1,2024-09-15
RESP00058,STU004,Q001-12,ASS001,1,2024-09-15
RESP00059,STU004,Q001-13,ASS001,1,2024-09-15
RESP00060,STU004,Q001-14,ASS001,1,2024-09-15
RESP00061,STU004,Q001-15,ASS001,1,2024-09-15
RESP00062,STU005,Q001-01,ASS001,1,2024-09-15
RESP00063,STU005,Q001-02,ASS001,1,2024-09-15
RESP00064,STU005,Q001-03,ASS001,1,2024-09-15
RESP00065,STU005,Q001-04,ASS001,1,2024-09-15
RESP00066,STU005,Q001-05,ASS001,1,2024-09-15
RESP00067,STU005,Q001-06,ASS001,0,2024-09-15
RESP00068,STU005,Q001-07,ASS001,1,2024-09-15
RESP00069,STU005,Q001-08,ASS001,1,2024-09-15
RESP00070,STU005,Q001-09,ASS001,1,2024-09-15
RESP00071,STU005,Q001-10,ASS001,1,2024-09-15
RESP00072,STU005,Q001-11,ASS001,0,2024-09-15
RESP00073,STU005,Q001-12,ASS001,1,2024-09-15
RESP00074,STU005,Q001-13,ASS001,1,2024-09-15
RESP00075,STU005,Q001-14,ASS001,0,2024-09-15
RESP00076,STU005,Q001-15,ASS001,1,2024-09-15
RESP00077,STU006,Q001-01,ASS001,0,2024-09-15
RESP00078,STU006,Q001-02,ASS001,1,2024-09-15
RESP00079,STU006,Q001-03,ASS001,0,2024-09-15
RESP00080,STU006,Q001-04,ASS001,0,2024-09-15
RESP00081,STU006,Q001-05,ASS001,0,2024-09-15
RESP00082,STU006,Q001-06,ASS001,1,2024-09-15
RESP00083,STU006,Q001-07,ASS001,0,2024-09-15
RESP00084,STU006,Q001-08,ASS001,1,2024-09-15
RESP00085,STU006,Q001-09,ASS001,1,2024-09-15
RESP00086,STU006,Q001-10,ASS001,0,2024-09-15
RESP00087,STU006,Q001-11,ASS001,0,2024-09-15
RESP00088,STU006,Q001-12,ASS001,1,2024-09-15
RESP00089,STU006,Q001-13,ASS001,1,2024-09-15
RESP00090,STU006,Q001-14,ASS001,0,2024-09-15
RESP00091,STU006,Q001-15,ASS001,1,2024-09-15
RESP00092,STU007,Q001-01,ASS001,1,2024-09-15
RESP00093,STU007,Q001-02,ASS001,1,2024-09-15
RESP00094,STU007,Q001-03,ASS001,1,2024-09-15
RESP00095,STU007,Q001-04,ASS001,1,2024-09-15
RESP00096,STU007,Q001-05,ASS001,0,2024-09-15
RESP00097,STU007,Q001-06,ASS001,1,2024-09-15
RESP00098,STU007,Q001-07,ASS001,1,2024-09-15
RESP00099,STU007,Q001-08,ASS001,1,2024-09-15
RESP00100,STU007,Q001-09,ASS001,1,2024-09-15
RESP00101,STU007,Q001-10,ASS001,1,2024-09-15
RESP00102,STU007,Q001-11,ASS001,1,2024-09-15
RESP00103,STU007,Q001-12,ASS001,1,2024-09-15
RESP00104,STU007,Q001-13,ASS001,0,2024-09-15
RESP00105,STU007,Q001-14,ASS001,0,2024-09-15
RESP00106,STU007,Q001-15,ASS001,1,2024-09-15
RESP00107,STU008,Q001-01,ASS001,1,2024-09-15
RESP00108,STU008,Q001-02,ASS001,1,2024-09-15
RESP00109,STU008,Q001-03,ASS001,1,2024-09-15
RESP00110,STU008,Q001-04,ASS001,1,2024-09-15
RESP00111,STU008,Q001-05,ASS001,0,2024-09-15
RESP00112,STU008,Q001-06,ASS001,1,2024-09-15
RESP00113,STU008,Q001-07,ASS001,1,2024-09-15
RESP00114,STU008,Q001-08,ASS001,1,2024-09-15
RESP00115,STU008,Q001-09,ASS001,1,2024-09-15
RESP00116,STU008,Q001-10,ASS001,1,2024-09-15
RESP00117,STU008,Q001-11,ASS001,1,2024-09-15
RESP00118,STU008,Q001-12,ASS001,1,2024-09-15
RESP00119,STU008,Q001-13,ASS001,1,2024-09-15
RESP00120,STU008,Q001-14,ASS001,1,2024-09-15
RESP00121,STU008,Q001-15,ASS001,1,2024-09-15
RESP00122,STU009,Q001-01,ASS001,1,2024-09-15
RESP00123,STU009,Q001-02,ASS001,1,2024-09-15
RESP00124,STU009,Q001-03,ASS001,0,2024-09-15
RESP00125,STU009,Q001-04,ASS001,0,2024-09-15
RESP00126,STU009,Q001-04,ASS001,0,2024-09-15
RESP00127,STU009,Q001-05,ASS001,1,2024-09-15
RESP00128,STU009,Q001-06,ASS001,1,2024-09-15
RESP00129,STU009,Q001-07,ASS001,1,2024-09-15
RESP00130,STU009,Q001-08,ASS001,1,2024-09-15
RESP00131,STU009,Q001-09,ASS001,1,2024-09-15
RESP00132,STU009,Q001-10,ASS001,1,2024-09-15
RESP00133,STU009,Q001-11,ASS001,1,2024-09-15
RESP00134,STU009,Q001-12,ASS001,1,2024-09-15
RESP00135,STU009,Q001-13,ASS001,1,2024-09-15
RESP00136,STU009,Q001-14,ASS001,1,2024-09-15
RESP00137,STU009,Q001-15,ASS001,1,2024-09-15
RESP00138,STU010,Q001-01,ASS001,0,2024-09-15
RESP00139,STU010,Q001-02,ASS001,0,2024-09-15
RESP00140,STU010,Q001-03,ASS001,0,2024-09-15
RESP00141,STU010,Q001-04,ASS001,0,2024-09-15
RESP00142,STU010,Q001-05,ASS001,0,2024-09-15
RESP00143,STU010,Q001-06,ASS001,0,2024-09-15
RESP00144,STU010,Q001-07,ASS001,0,2024-09-15
RESP00145,STU010,Q001-08,ASS001,0,2024-09-15
RESP00146,STU010,Q001-09,ASS001,0,2024-09-15
RESP00147,STU010,Q001-10,ASS001,0,2024-09-15
RESP00148,STU010,Q001-11,ASS001,1,2024-09-15
RESP00149,STU010,Q001-12,ASS001,1,2024-09-15
RESP00150,STU010,Q001-13,ASS001,1,2024-09-15
RESP00151,STU010,Q001-14,ASS001,0,2024-09-15
RESP00152,STU010,Q001-15,ASS001,0,2024-09-15
RESP00153,STU011,Q001-01,ASS001,1,2024-09-15
RESP00154,STU011,Q001-02,ASS001,1,2024-09-15
RESP00155,STU011,Q001-03,ASS001,1,2024-09-15
RESP00156,STU011,Q001-04,ASS001,1,2024-09-15
RESP00157,STU011,Q001-04,ASS001,1,2024-09-15
RESP00158,STU011,Q001-05,ASS001,1,2024-09-15
RESP00159,STU011,Q001-05,ASS001,1,2024-09-15
RESP00160,STU011,Q001-06,ASS001,1,2024-09-15
RESP00161,STU011,Q001-07,ASS001,1,2024-09-15
RESP00162,STU011,Q001-08,ASS001,1,2024-09-15
RESP00163,STU011,Q001-09,ASS001,0,2024-09-15
RESP00164,STU011,Q001-10,ASS001,1,2024-09-15
RESP00165,STU011,Q001-11,ASS001,1,2024-09-15
RESP00166,STU011,Q001-12,ASS001,1,2024-09-15
RESP00167,STU011,Q001-13,ASS001,1,2024-09-15
RESP00168,STU011,Q001-14,ASS001,0,2024-09-15
RESP00169,STU011,Q001-15,ASS001,1,2024-09-15
RESP00170,STU012,Q001-01,ASS001,1,2024-09-15
RESP00171,STU012,Q001-02,ASS001,0,2024-09-15
RESP00172,STU012,Q001-03,ASS001,0,2024-09-15
RESP00173,STU012,Q001-04,ASS001,0,2024-09-15
RESP00174,STU012,Q001-05,ASS001,1,2024-09-15
RESP00175,STU012,Q001-06,ASS001,0,2024-09-15
RESP00176,STU012,Q001-07,ASS001,0,2024-09-15
RESP00177,STU012,Q001-08,ASS001,1,2024-09-15
RESP00178,STU012,Q001-09,ASS001,1,2024-09-15
RESP00179,STU012,Q001-10,ASS001,1,2024-09-15
RESP00180,STU012,Q001-11,ASS001,1,2024-09-15
RESP00181,STU012,Q001-12,ASS001,1,2024-09-15
RESP00182,STU012,Q001-13,ASS001,1,2024-09-15
RESP00183,STU012,Q001-14,ASS001,0,2024-09-15
RESP00184,STU012,Q001-15,ASS001,1,2024-09-15
RESP00185,STU013,Q001-01,ASS001,1,2024-09-15
RESP00186,STU013,Q001-02,ASS001,1,2024-09-15
RESP00187,STU013,Q001-03,ASS001,1,2024-09-15
RESP00188,STU013,Q001-04,ASS001,1,2024-09-15
RESP00189,STU013,Q001-05,ASS001,0,2024-09-15
RESP00190,STU013,Q001-06,ASS001,1,2024-09-15
RESP00191,STU013,Q001-07,ASS001,1,2024-09-15
RESP00192,STU013,Q001-08,ASS001,1,2024-09-15
RESP00193,STU013,Q001-09,ASS001,0,2024-09-15
RESP00194,STU013,Q001-10,ASS001,1,2024-09-15
RESP00195,STU013,Q001-11,ASS001,0,2024-09-15
RESP00196,STU013,Q001-12,ASS001,1,2024-09-15
RESP00197,STU013,Q001-13,ASS001,1,2024-09-15
RESP00198,STU013,Q001-14,ASS001,1,2024-09-15
RESP00199,STU013,Q001-15,ASS001,1,2024-09-15
RESP00200,STU014,Q001-01,ASS001,1,2024-09-15
RESP00201,STU014,Q001-02,ASS001,1,2024-09-15
RESP00202,STU014,Q001-03,ASS001,1,2024-09-15
RESP00203,STU014,Q001-04,ASS001,1,2024-09-15
RESP00204,STU014,Q001-05,ASS001,1,2024-09-15
RESP00205,STU014,Q001-06,ASS001,1,2024-09-15
RESP00206,STU014,Q001-07,ASS001,1,2024-09-15
RESP00207,STU014,Q001-08,ASS001,1,2024-09-15
RESP00208,STU014,Q001-09,ASS001,1,2024-09-15
RESP00209,STU014,Q001-10,ASS001,1,2024-09-15
RESP00210,STU014,Q001-11,ASS001,1,2024-09-15
RESP00211,STU014,Q001-12,ASS001,1,2024-09-15
RESP00212,STU014,Q001-13,ASS001,1,2024-09-15
RESP00213,STU014,Q001-14,ASS001,1,2024-09-15
RESP00214,STU014,Q001-15,ASS001,1,2024-09-15
RESP00215,STU015,Q001-01,ASS001,1,2024-09-15
RESP00216,STU015,Q001-02,ASS001,1,2024-09-15
RESP00217,STU015,Q001-03,ASS001,1,2024-09-15
RESP00218,STU015,Q001-04,ASS001,1,2024-09-15
RESP00219,STU015,Q001-05,ASS001,1,2024-09-15
RESP00220,STU015,Q001-06,ASS001,1,2024-09-15
RESP00221,STU015,Q001-07,ASS001,1,2024-09-15
RESP00222,STU015,Q001-08,ASS001,1,2024-09-15
RESP00223,STU015,Q001-09,ASS001,1,2024-09-15
RESP00224,STU015,Q001-10,ASS001,1,2024-09-15
RESP00225,STU015,Q001-11,ASS001,1,2024-09-15
RESP00226,STU015,Q001-12,ASS001,1,2024-09-15
RESP00227,STU015,Q001-13,ASS001,1,2024-09-15
RESP00228,STU015,Q001-14,ASS001,1,2024-09-15
RESP00229,STU015,Q001-15,ASS001,1,2024-09-15
RESP00230,STU016,Q001-01,ASS001,1,2024-09-15
RESP00231,STU016,Q001-02,ASS001,1,2024-09-15
RESP00232,STU016,Q001-03,ASS001,1,2024-09-15
RESP00233,STU016,Q001-04,ASS001,1,2024-09-15
RESP00234,STU016,Q001-04,ASS001,1,2024-09-15
RESP00235,STU016,Q001-05,ASS001,1,2024-09-15
RESP00236,STU016,Q001-06,ASS001,1,2024-09-15
RESP00237,STU016,Q001-07,ASS001,1,2024-09-15
RESP00238,STU016,Q001-08,ASS001,1,2024-09-15
RESP00239,STU016,Q001-09,ASS001,1,2024-09-15
RESP00240,STU016,Q001-10,ASS001,1,2024-09-15
RESP00241,STU016,Q001-11,ASS001,1,2024-09-15
RESP00242,STU016,Q001-12,ASS001,1,2024-09-15
RESP00243,STU016,Q001-13,ASS001,1,2024-09-15
RESP00244,STU016,Q001-14,ASS001,1,2024-09-15
RESP00245,STU016,Q001-15,ASS001,1,2024-09-15
RESP00246,STU017,Q001-01,ASS001,0,2024-09-15
RESP00247,STU017,Q001-02,ASS001,1,2024-09-15
RESP00248,STU017,Q001-03,ASS001,1,2024-09-15
RESP00249,STU017,Q001-04,ASS001,1,2024-09-15
RESP00250,STU017,Q001-04,ASS001,1,2024-09-15
RESP00251,STU017,Q001-05,ASS001,1,2024-09-15
RESP00252,STU017,Q001-06,ASS001,1,2024-09-15
RESP00253,STU017,Q001-07,ASS001,1,2024-09-15
RESP00254,STU017,Q001-08,ASS001,1,2024-09-15
RESP00255,STU017,Q001-09,ASS001,0,2024-09-15
RESP00256,STU017,Q001-10,ASS001,1,2024-09-15
RESP00257,STU017,Q001-10,ASS001,1,2024-09-15
RESP00258,STU017,Q001-11,ASS001,1,2024-09-15
RESP00259,STU017,Q001-12,ASS001,1,2024-09-15
RESP00260,STU017,Q001-13,ASS001,1,2024-09-15
RESP00261,STU017,Q001-14,ASS001,1,2024-09-15
RESP00262,STU017,Q001-15,ASS001,1,2024-09-15
RESP00263,STU018,Q001-01,ASS001,1,2024-09-15
RESP00264,STU018,Q001-02,ASS001,1,2024-09-15
RESP00265,STU018,Q001-03,ASS001,1,2024-09-15
RESP00266,STU018,Q001-04,ASS001,1,2024-09-15
RESP00267,STU018,Q001-05,ASS001,1,2024-09-15
RESP00268,STU018,Q001-06,ASS001,1,2024-09-15
RESP00269,STU018,Q001-07,ASS001,1,2024-09-15
RESP00270,STU018,Q001-08,ASS001,0,2024-09-15
RESP00271,STU018,Q001-09,ASS001,0,2024-09-15
RESP00272,STU018,Q001-10,ASS001,1,2024-09-15
RESP00273,STU018,Q001-11,ASS001,1,2024-09-15
RESP00274,STU018,Q001-12,ASS001,1,2024-09-15
RESP00275,STU018,Q001-13,ASS001,1,2024-09-15
RESP00276,STU018,Q001-14,ASS001,1,2024-09-15
RESP00277,STU018,Q001-15,ASS001,0,2024-09-15
RESP00278,STU019,Q001-01,ASS001,0,2024-09-15
RESP00279,STU019,Q001-02,ASS001,1,2024-09-15
RESP00280,STU019,Q001-03,ASS001,1,2024-09-15
RESP00281,STU019,Q001-04,ASS001,1,2024-09-15
RESP00282,STU019,Q001-05,ASS001,1,2024-09-15
RESP00283,STU019,Q001-06,ASS001,1,2024-09-15
RESP00284,STU019,Q001-07,ASS001,1,2024-09-15
RESP00285,STU019,Q001-08,ASS001,1,2024-09-15
RESP00286,STU019,Q001-09,ASS001,1,2024-09-15
RESP00287,STU019,Q001-10,ASS001,1,2024-09-15
RESP00288,STU019,Q001-11,ASS001,1,2024-09-15
RESP00289,STU019,Q001-12,ASS001,1,2024-09-15
RESP00290,STU019,Q001-13,ASS001,1,2024-09-15
RESP00291,STU019,Q001-14,ASS001,1,2024-09-15
RESP00292,STU019,Q001-15,ASS001,1,2024-09-15
RESP00293,STU020,Q001-01,ASS001,1,2024-09-15
RESP00294,STU020,Q001-02,ASS001,1,2024-09-15
RESP00295,STU020,Q001-03,ASS001,1,2024-09-15
RESP00296,STU020,Q001-04,ASS001,1,2024-09-15
RESP00297,STU020,Q001-05,ASS001,1,2024-09-15
RESP00298,STU020,Q001-06,ASS001,1,2024-09-15
RESP00299,STU020,Q001-07,ASS001,1,2024-09-15
RESP00300,STU020,Q001-08,ASS001,1,2024-09-15
RESP00301,STU020,Q001-09,ASS001,1,2024-09-15
RESP00302,STU020,Q001-10,ASS001,1,2024-09-15
RESP00303,STU020,Q001-11,ASS001,0,2024-09-15
RESP00304,STU020,Q001-12,ASS001,1,2024-09-15
RESP00305,STU020,Q001-13,ASS001,1,2024-09-15
RESP00306,STU020,Q001-14,ASS001,1,2024-09-15
RESP00307,STU020,Q001-15,ASS001,1,2024-09-15
RESP00308,STU021,Q001-01,ASS001,1,2024-09-15
RESP00309,STU021,Q001-02,ASS001,1,2024-09-15
RESP00310,STU021,Q001-03,ASS001,1,2024-09-15
RESP00311,STU021,Q001-04,ASS001,1,2024-09-15
RESP00312,STU021,Q001-05,ASS001,1,2024-09-15
RESP00313,STU021,Q001-06,ASS001,1,2024-09-15
RESP00314,STU021,Q001-07,ASS001,1,2024-09-15
RESP00315,STU021,Q001-08,ASS001,1,2024-09-15
RESP00316,STU021,Q001-08,ASS001,1,2024-09-15
RESP00317,STU021,Q001-09,ASS001,1,2024-09-15
RESP00318,STU021,Q001-10,ASS001,1,2024-09-15
RESP00319,STU021,Q001-11,ASS001,0,2024-09-15
RESP00320,STU021,Q001-12,ASS001,1,2024-09-15
RESP00321,STU021,Q001-13,ASS001,1,2024-09-15
RESP00322,STU021,Q001-14,ASS001,1,2024-09-15
RESP00323,STU021,Q001-15,ASS001,1,2024-09-15
RESP00324,STU022,Q001-01,ASS001,1,2024-09-15
RESP00325,STU022,Q001-02,ASS001,1,2024-09-15
RESP00326,STU022,Q001-03,ASS001,1,2024-09-15
RESP00327,STU022,Q001-04,ASS001,1,2024-09-15
RESP00328,STU022,Q001-05,ASS001,1,2024-09-15
RESP00329,STU022,Q001-05,ASS001,1,2024-09-15
RESP00330,STU022,Q001-06,ASS001,1,2024-09-15
RESP00331,STU022,Q001-07,ASS001,1,2024-09-15
RESP00332,STU022,Q001-08,ASS001,1,2024-09-15
RESP00333,STU022,Q001-09,ASS001,0,2024-09-15
RESP00334,STU022,Q001-10,ASS001,1,2024-09-15
RESP00335,STU022,Q001-11,ASS001,1,2024-09-15
RESP00336,STU022,Q001-12,ASS001,1,2024-09-15
RESP00337,STU022,Q001-13,ASS001,1,2024-09-15
RESP00338,STU022,Q001-14,ASS001,1,2024-09-15
RESP00339,STU022,Q001-15,ASS001,1,2024-09-15
RESP00340,STU023,Q001-01,ASS001,1,2024-09-15
RESP00341,STU023,Q001-02,ASS001,1,2024-09-15
RESP00342,STU023,Q001-03,ASS001,0,2024-09-15
RESP00343,STU023,Q001-04,ASS001,0,2024-09-15
RESP00344,STU023,Q001-05,ASS001,0,2024-09-15
RESP00345,STU023,Q001-05,ASS001,0,2024-09-15
RESP00346,STU023,Q001-06,ASS001,1,2024-09-15
RESP00347,STU023,Q001-07,ASS001,1,2024-09-15
RESP00348,STU023,Q001-08,ASS001,1,2024-09-15
RESP00349,STU023,Q001-09,ASS001,0,2024-09-15
RESP00350,STU023,Q001-10,ASS001,1,2024-09-15
RESP00351,STU023,Q001-11,ASS001,1,2024-09-15
RESP00352,STU023,Q001-12,ASS001,1,2024-09-15
RESP00353,STU023,Q001-13,ASS001,1,2024-09-15
RESP00354,STU023,Q001-14,ASS001,1,2024-09-15
RESP00355,STU023,Q001-15,ASS001,1,2024-09-15
RESP00356,STU024,Q001-01,ASS001,0,2024-09-15
RESP00357,STU024,Q001-02,ASS001,1,2024-09-15
RESP00358,STU024,Q001-03,ASS001,1,2024-09-15
RESP00359,STU024,Q001-04,ASS001,1,2024-09-15
RESP00360,STU024,Q001-05,ASS001,1,2024-09-15
RESP00361,STU024,Q001-06,ASS001,1,2024-09-15
RESP00362,STU024,Q001-07,ASS001,1,2024-09-15
RESP00363,STU024,Q001-08,ASS001,1,2024-09-15
RESP00364,STU024,Q001-09,ASS001,0,2024-09-15
RESP00365,STU024,Q001-10,ASS001,1,2024-09-15
RESP00366,STU024,Q001-11,ASS001,1,2024-09-15
RESP00367,STU024,Q001-12,ASS001,1,2024-09-15
RESP00368,STU024,Q001-13,ASS001,1,2024-09-15
RESP00369,STU024,Q001-14,ASS001,1,2024-09-15
RESP00370,STU024,Q001-15,ASS001,1,2024-09-15
RESP00371,STU025,Q001-01,ASS001,1,2024-09-15
RESP00372,STU025,Q001-02,ASS001,1,2024-09-15
RESP00373,STU025,Q001-03,ASS001,1,2024-09-15
RESP00374,STU025,Q001-04,ASS001,0,2024-09-15
RESP00375,STU025,Q001-05,ASS001,1,2024-09-15
RESP00376,STU025,Q001-06,ASS001,1,2024-09-15
RESP00377,STU025,Q001-07,ASS001,1,2024-09-15
RESP00378,STU025,Q001-08,ASS001,1,2024-09-15
RESP00379,STU025,Q001-09,ASS001,1,2024-09-15
RESP00380,STU025,Q001-10,ASS001,1,2024-09-15
RESP00381,STU025,Q001-10,ASS001,1,2024-09-15
RESP00382,STU025,Q001-11,ASS001,1,2024-09-15
RESP00383,STU025,Q001-12,ASS001,1,2024-09-15
RESP00384,STU025,Q001-13,ASS001,1,2024-09-15
RESP00385,STU025,Q001-14,ASS001,1,2024-09-15
RESP00386,STU025,Q001-15,ASS001,1,2024-09-15
RESP00387,STU026,Q001-01,ASS001,0,2024-09-15
RESP00388,STU026,Q001-02,ASS001,1,2024-09-15
RESP00389,STU026,Q001-03,ASS001,1,2024-09-15
RESP00390,STU026,Q001-04,ASS001,0,2024-09-15
RESP00391,STU026,Q001-05,ASS001,1,2024-09-15
RESP00392,STU026,Q001-05,ASS001,1,2024-09-15
RESP00393,STU026,Q001-06,ASS001,1,2024-09-15
RESP00394,STU026,Q001-07,ASS001,1,2024-09-15
RESP00395,STU026,Q001-08,ASS001,1,2024-09-15
RESP00396,STU026,Q001-09,ASS001,1,2024-09-15
RESP00397,STU026,Q001-10,ASS001,1,2024-09-15
RESP00398,STU026,Q001-11,ASS001,1,2024-09-15
RESP00399,STU026,Q001-12,ASS001,1,2024-09-15
RESP00400,STU026,Q001-13,ASS001,1,2024-09-15
RESP00401,STU026,Q001-14,ASS001,1,2024-09-15
RESP00402,STU026,Q001-15,ASS001,1,2024-09-15
RESP00403,STU027,Q001-01,ASS001,1,2024-09-15
RESP00404,STU027,Q001-02,ASS001,1,2024-09-15
RESP00405,STU027,Q001-03,ASS001,1,2024-09-15
RESP00406,STU027,Q001-04,ASS001,1,2024-09-15
RESP00407,STU027,Q001-05,ASS001,1,2024-09-15
RESP00408,STU027,Q001-06,ASS001,1,2024-09-15
RESP00409,STU027,Q001-07,ASS001,1,2024-09-15
RESP00410,STU027,Q001-08,ASS001,1,2024-09-15
RESP00411,STU027,Q001-09,ASS001,0,2024-09-15
RESP00412,STU027,Q001-10,ASS001,1,2024-09-15
RESP00413,STU027,Q001-11,ASS001,1,2024-09-15
RESP00414,STU027,Q001-12,ASS001,1,2024-09-15
RESP00415,STU027,Q001-13,ASS001,1,2024-09-15
RESP00416,STU027,Q001-14,ASS001,1,2024-09-15
RESP00417,STU027,Q001-15,ASS001,1,2024-09-15
RESP00418,STU028,Q001-01,ASS001,1,2024-09-15
RESP00419,STU028,Q001-02,ASS001,1,2024-09-15
RESP00420,STU028,Q001-03,ASS001,1,2024-09-15
RESP00421,STU028,Q001-04,ASS001,1,2024-09-15
RESP00422,STU028,Q001-05,ASS001,1,2024-09-15
RESP00423,STU028,Q001-06,ASS001,1,2024-09-15
RESP00424,STU028,Q001-07,ASS001,1,2024-09-15
RESP00425,STU028,Q001-08,ASS001,1,2024-09-15
RESP00426,STU028,Q001-09,ASS001,1,2024-09-15
RESP00427,STU028,Q001-10,ASS001,1,2024-09-15
RESP00428,STU028,Q001-11,ASS001,0,2024-09-15
RESP00429,STU028,Q001-12,ASS001,1,2024-09-15
RESP00430,STU028,Q001-13,ASS001,1,2024-09-15
RESP00431,STU028,Q001-14,ASS001,1,2024-09-15
RESP00432,STU028,Q001-15,ASS001,1,2024-09-15
RESP00433,STU029,Q001-01,ASS001,0,2024-09-15
RESP00434,STU029,Q001-02,ASS001,1,2024-09-15
RESP00435,STU029,Q001-03,ASS001,1,2024-09-15
RESP00436,STU029,Q001-04,ASS001,1,2024-09-15
RESP00437,STU029,Q001-05,ASS001,0,2024-09-15
RESP00438,STU029,Q001-06,ASS001,0,2024-09-15
RESP00439,STU029,Q001-07,ASS001,0,2024-09-15
RESP00440,STU029,Q001-08,ASS001,0,2024-09-15
RESP00441,STU029,Q001-09,ASS001,0,2024-09-15
RESP00442,STU029,Q001-10,ASS001,0,2024-09-15
RESP00443,STU029,Q001-11,ASS001,0,2024-09-15
RESP00444,STU029,Q001-12,ASS001,0,2024-09-15
RESP00445,STU029,Q001-13,ASS001,0,2024-09-15
RESP00446,STU029,Q001-14,ASS001,0,2024-09-15
RESP00447,STU029,Q001-15,ASS001,0,2024-09-15
RESP00448,STU030,Q001-01,ASS001,0,2024-09-15
RESP00449,STU030,Q001-02,ASS001,1,2024-09-15
RESP00450,STU030,Q001-03,ASS001,1,2024-09-15
RESP00451,STU030,Q001-04,ASS001,1,2024-09-15
RESP00452,STU030,Q001-05,ASS001,1,2024-09-15
RESP00453,STU030,Q001-06,ASS001,1,2024-09-15
RESP00454,STU030,Q001-07,ASS001,1,2024-09-15
RESP00455,STU030,Q001-08,ASS001,1,2024-09-15
RESP00456,STU030,Q001-09,ASS001,1,2024-09-15
RESP00457,STU030,Q001-10,ASS001,1,2024-09-15
RESP00458,STU030,Q001-11,ASS001,0,2024-09-15
RESP00459,STU030,Q001-12,ASS001,1,2024-09-15
RESP00460,STU030,Q001-13,ASS001,1,2024-09-15
RESP00461,STU030,Q001-14,ASS001,1,2024-09-15
RESP00462,STU030,Q001-15,ASS001,1,2024-09-15
RESP00463,STU031,Q001-01,ASS001,0,2024-09-15
RESP00464,STU031,Q001-02,ASS001,1,2024-09-15
