loan_id,loan_grade,loan_subgrade,grade_mismatch_flag,loan_purpose,loan_term_months,loan_amount,loan_amount_clean,loan_amount_flag,interest_rate,interest_rate_clean,interest_rate_flag,installment,issue_date,first_payment_date,date_sequence_flag,loan_status,total_payment,principal_received,interest_received,charged_off_amount,credit_score_clean,credit_score_flag,credit_score,dti,dti_clean,dti_flag,annual_income,employment_length,employment_length_clean,home_ownership,addr_state,state_name,state_flag
LN001966,E,E3,OK,vacation,36,1900,1900,OK,24.59,24.59,OK,75.13,8/19/2022,9/20/2022,OK,Fully Paid,2714.73,1900,814.73,0,693,OK,693,30.34,30.34,OK,64300,3 years,3 years,OTHER,TX,Texas,OK
LN000271,D,D3,OK,educational,36,5900,5900,OK,20.8,20.8,OK,221.68,6/13/2023,7/14/2023,OK,Fully Paid,7934.24,5900,2034.24,0,742,OK,742,43.58,43.58,OK,144500,6 years,6 years,RENT,CT,Connecticut,OK
LN000671,F,F5,OK,home_improvement,36,,,FLAGGED,28.84,28.84,OK,1175.11,4/30/2022,5/30/2022,OK,Current,14101.32,9165.86,4935.46,0,808,OK,808,31.69,31.69,OK,148500,7 years,7 years,RENT,CT,Connecticut,OK
LN000135,F,F1,OK,educational,36,11600,11600,OK,29.74,29.74,OK,490.79,4/4/2021,5/9/2021,OK,Charged Off,2581.74,1807.22,774.52,9792.78,624,OK,624,156.55,,DTI_IMPOSSIBLE,243300,3 years,3 years,RENT,WY,Wyoming,OK
LN002678,E,E3,OK,debt_consolidation,36,32900,32900,OK,25.89,25.89,OK,1323.63,11/9/2023,12/9/2023,OK,Fully Paid,48291.03,32900,15391.03,0,633,OK,633,21.71,21.71,OK,179800,4 years,4 years,OWN,DE,Delaware,OK
LN002888,E,E1,OK,renewable_energy,60,36900,36900,OK,24.68,24.68,OK,1076.15,8/3/2022,9/5/2022,OK,Fully Paid,65817.74,36900,28917.74,0,783,OK,783,27.54,27.54,OK,219000,< 1 year,< 1 year,MORTGAGE,DE,Delaware,OK
LN001743,B,B3,OK,vacation,36,,,FLAGGED,10.6,10.6,OK,97.65,3/25/2022,4/29/2022,OK,Charged Off,198.2,138.74,59.46,2861.26,817,OK,817,26.62,26.62,OK,54800,< 1 year,< 1 year,RENT,SC,South Carolina,OK
LN003034,A,A4,OK,home_improvement,36,12100,12100,OK,5.56,5.56,OK,365.7,2/24/2021,3/30/2021,OK,Fully Paid,13036.38,12100,936.38,0,748,OK,748,39.94,39.94,OK,107800,1 year,1 year,RENT,GA,Georgia,OK
LN002317,C,C4,OK,major_purchase,36,19400,19400,OK,15.65,15.65,OK,678.7,8/11/2022,9/14/2022,OK,Fully Paid,24759.09,19400,5359.09,0,659,OK,659,8.57,8.57,OK,130200,10+ years,10+ years,RENT,MN,Minnesota,OK
LN000027,B,B2,OK,car,36,,,FLAGGED,11.88,11.88,OK,149.21,4/12/2021,5/14/2021,OK,Fully Paid,5373.58,4500,873.58,0,,NULL,,44.25,44.25,OK,244600,3 years,3 years,RENT,KY,Kentucky,OK
LN002708,B,B4,OK,home_improvement,60,13200,13200,OK,10.46,10.46,OK,283.46,9/25/2021,10/27/2021,OK,Fully Paid,17183.58,13200,3983.58,0,818,OK,818,42.95,42.95,OK,120000,5 years,5 years,RENT,KY,Kentucky,OK
LN000930,C,C4,OK,car,36,25200,25200,OK,13.05,13.05,OK,849.69,4/9/2021,5/12/2021,OK,Fully Paid,30357.83,25200,5157.83,0,625,OK,625,33.29,33.29,OK,128200,5 years,5 years,RENT,MT,Montana,OK
LN002989,B,B2,OK,vacation,36,32900,32900,OK,9.01,9.01,OK,1046.36,10/8/2021,11/11/2021,OK,Charged Off,17809.07,12466.35,5342.72,20433.65,729,OK,729,15.61,15.61,OK,117600,,MISSING,MORTGAGE,IL,Illinois,OK
LN001000,B,B1,OK,wedding,60,34600,34600,OK,8.72,8.72,OK,713.55,7/25/2023,8/26/2023,OK,Current,34963.95,22726.57,12237.38,0,702,OK,702,13.11,13.11,OK,134400,< 1 year,< 1 year,RENT,IL,Illinois,OK
LN000033,B,B5,OK,medical,60,20600,20600,OK,10.23,10.23,OK,440.02,8/10/2022,9/10/2022,OK,Fully Paid,26599.34,20600,5999.34,0,808,OK,808,35.04,35.04,OK,68600,,MISSING,RENT,VT,Vermont,OK
LN000316,E,E3,OK,moving,60,30400,30400,OK,23.63,23.63,OK,868.03,8/26/2023,9/30/2023,OK,Default,8680.3,6076.21,2604.09,0,703,OK,703,35.8,35.8,OK,164100,10+ years,10+ years,OWN,NJ,New Jersey,OK
LN000416,G,G1,OK,wedding,36,34600,34600,OK,35.06,35.06,OK,1566.34,1/27/2021,2/26/2021,OK,Late (31-120 Days),18796.08,13157.26,5638.82,0,627,OK,627,15.13,15.13,OK,216200,,MISSING,RENT,NJ,New Jersey,OK
LN002105,A,A4,OK,home_improvement,36,3400,3400,OK,5.04,5.04,OK,101.96,7/16/2023,8/19/2023,OK,Fully Paid,3663.48,3400,263.48,0,613,OK,613,14.63,14.63,OK,40600,1 year,1 year,MORTGAGE,IA,Iowa,OK
LN001510,A,A5,OK,small_business,60,9000,9000,OK,5.85,5.85,OK,173.37,2/23/2022,3/26/2022,OK,Current,8148.39,5296.45,2851.94,0,608,OK,608,29.8,29.8,OK,115900,6 years,6 years,RENT,ME,Maine,OK
LN002358,E,E5,OK,medical,36,25000,25000,OK,25.27,25.27,OK,997.57,11/25/2021,12/23/2021,OK,Charged Off,11022.05,7715.43,3306.61,17284.57,803,OK,803,18.24,18.24,OK,174100,6 years,6 years,RENT,MD,Maryland,OK
LN001925,C,G1,GRADE_MISMATCH,debt_consolidation,60,38600,38600,OK,16.19,16.19,OK,942.58,3/5/2021,4/4/2021,OK,Fully Paid,56134.93,38600,17534.93,0,700,OK,700,41.18,41.18,OK,145900,1 year,1 year,RENT,WA,Washington,OK
LN002963,A,A3,OK,home_improvement,36,21500,21500,OK,7.59,7.59,OK,669.67,11/4/2023,12/2/2023,OK,Fully Paid,24471.41,21500,2971.41,0,749,OK,749,34.85,34.85,OK,229800,4 years,4 years,RENT,WA,Washington,OK
LN000180,B,B3,OK,debt_consolidation,60,6800,6800,OK,8.58,8.58,OK,139.77,5/26/2022,6/28/2022,OK,Current,6429.42,4179.12,2250.3,0,784,OK,784,11.57,11.57,OK,124900,5 years,5 years,MORTGAGE,MI,Michigan,OK
LN002378,C,C1,OK,debt_consolidation,60,18200,18200,OK,12.77,12.77,OK,411.97,8/4/2021,9/3/2021,OK,Late (31-120 Days),4531.67,3172.17,1359.5,0,771,OK,771,24.16,24.16,OK,198800,3 years,3 years,RENT,RI,Rhode Island,OK
LN002956,E,E4,OK,debt_consolidation,60,38000,38000,OK,25.64,25.64,OK,1129.65,9/2/2021,10/1/2021,OK,Default,13555.8,9489.06,4066.74,0,698,OK,698,16.01,16.01,OK,103000,1 year,1 year,MORTGAGE,MS,Mississippi,OK
LN001404,D,D1,OK,moving,36,37200,37200,OK,21.69,21.69,OK,1414.73,5/19/2023,6/16/2023,OK,Fully Paid,51736.31,37200,14536.31,0,706,OK,706,20.43,20.43,OK,42700,4 years,4 years,MORTGAGE,MS,Mississippi,OK
LN001232,A,A3,OK,credit_card,36,9100,9100,OK,7.94,7.94,OK,284.91,11/27/2022,12/30/2022,OK,Charged Off,1672.01,1170.41,501.6,7929.59,741,OK,741,21.27,21.27,OK,247200,6 years,6 years,RENT,OR,Oregon,OK
LN002844,B,B1,OK,moving,36,,,FLAGGED,11.02,11.02,OK,753.21,12/29/2021,1/27/2022,OK,Fully Paid,26850.73,23000,3850.73,0,611,OK,611,39.52,39.52,OK,172400,3 years,3 years,MORTGAGE,OR,Oregon,OK
LN000121,A,A5,OK,wedding,36,29200,29200,OK,5.39,5.39,OK,880.27,4/15/2023,5/14/2023,OK,Fully Paid,31560.63,29200,2360.63,0,763,OK,763,33.75,33.75,OK,240300,4 years,4 years,OWN,OR,Oregon,OK
LN001511,C,C2,OK,debt_consolidation,36,6400,6400,OK,15.45,15.45,OK,223.27,9/13/2022,10/12/2022,OK,Current,5135.21,3337.89,1797.32,0,799,OK,799,14.15,14.15,OK,85300,1 year,1 year,MORTGAGE,MO,Missouri,OK
LN001958,B,B1,OK,car,60,32700,32700,OK,10.4,10.4,OK,701.23,8/11/2022,9/11/2022,OK,Charged Off,13219.01,9253.31,3965.7,23446.69,749,OK,749,27.81,27.81,OK,136400,4 years,4 years,OWN,MO,Missouri,OK
LN000440,D,D1,OK,renewable_energy,36,36300,36300,OK,18.66,18.66,OK,1324.38,5/27/2023,6/24/2023,OK,Fully Paid,48159.96,36300,11859.96,0,758,OK,758,42.84,42.84,OK,247100,,MISSING,RENT,UT,Utah,OK
LN003020,B,B3,OK,debt_consolidation,60,19300,19300,OK,8.62,8.62,OK,397.09,2/3/2021,3/3/2021,OK,Fully Paid,23516.76,19300,4216.76,0,697,OK,697,44.76,44.76,OK,130300,2 years,2 years,MORTGAGE,TN,Tennessee,OK
LN002763,F,F1,OK,credit_card,60,26400,26400,OK,27.82,27.82,OK,819.12,6/23/2022,7/21/2022,OK,Charged Off,9509.69,6656.78,2852.91,19743.22,672,OK,672,39.7,39.7,OK,32200,1 year,1 year,RENT,WI,Wisconsin,OK
LN001227,A,A2,OK,medical,36,5300,5300,OK,5.9,5.9,OK,161,4/6/2023,5/10/2023,OK,Fully Paid,5830.3,5300,530.3,0,601,OK,601,42.37,42.37,OK,234200,10+ years,10+ years,MORTGAGE,PA,Pennsylvania,OK
LN000843,D,D3,OK,car,36,,,FLAGGED,20.83,20.83,OK,605.16,12/12/2022,12/9/2022,DATE_SEQUENCE_ERROR,Charged Off,2387.64,1671.35,716.29,14428.65,,NULL,,21.68,21.68,OK,207900,3 years,3 years,MORTGAGE,RI,Rhode Island,OK
LN000185,A,A4,OK,wedding,36,19300,19300,OK,7.86,7.86,OK,603.55,3/17/2022,4/21/2022,OK,Fully Paid,22001.76,19300,2701.76,0,723,OK,723,25.22,25.22,OK,227700,4 years,4 years,OWN,VA,Virginia,OK
LN000496,B,B1,OK,major_purchase,36,30000,30000,OK,8.91,8.91,OK,952.74,1/13/2023,2/16/2023,OK,Current,30487.68,19816.99,10670.69,0,791,OK,791,31.94,31.94,OK,73500,2 years,2 years,RENT,LA,Louisiana,OK
LN002212,D,D1,OK,wedding,60,2200,2200,OK,21.82,21.82,OK,60.54,11/8/2022,12/10/2022,OK,Charged Off,309.76,216.83,92.93,1983.17,772,OK,772,14.41,14.41,OK,228000,6 years,6 years,MORTGAGE,OK,Oklahoma,OK
LN003202,E,E1,OK,renewable_energy,36,38700,38700,OK,24.24,24.24,OK,1523.19,1/12/2023,2/12/2023,OK,Fully Paid,54463.13,38700,15763.13,0,725,OK,725,42.4,42.4,OK,49300,10+ years,10+ years,OWN,CA,California,OK
LN000927,C,C4,OK,educational,60,7800,7800,OK,16.44,16.44,OK,191.51,4/28/2022,5/29/2022,OK,Current,4213.22,2738.59,1474.63,0,717,OK,717,32.89,32.89,OK,149700,3 years,3 years,MORTGAGE,NC,North Carolina,OK
LN000462,A,A4,OK,wedding,36,18500,18500,OK,5.52,5.52,OK,558.79,11/9/2021,12/11/2021,OK,Fully Paid,20369.56,18500,1869.56,0,636,OK,636,10.15,10.15,OK,83300,7 years,7 years,RENT,IN,Indiana,OK
LN000034,C,C1,OK,moving,36,7200,7200,OK,14.33,14.33,OK,247.23,12/1/2023,1/5/2024,OK,Current,5686.29,3696.09,1990.2,0,773,OK,773,40.66,40.66,OK,231700,,MISSING,MORTGAGE,NH,New Hampshire,OK
LN001794,D,D5,OK,car,36,31800,31800,OK,17.31,17.31,OK,1138.67,10/18/2023,11/22/2023,OK,Late (31-120 Days),3416.01,2391.21,1024.8,0,598,OK,598,6.92,6.92,OK,82900,8 years,8 years,RENT,IL,Illinois,OK
LN000290,D,D3,OK,debt_consolidation,36,29400,29400,OK,17.71,17.71,OK,1058.61,10/30/2021,11/27/2021,OK,Fully Paid,38257.3,29400,8857.3,0,,BELOW_MIN,231,26.9,26.9,OK,59800,3 years,3 years,MORTGAGE,WA,Washington,OK
LN002590,A,A2,OK,educational,36,32600,32600,OK,7.75,7.75,OK,1017.81,4/27/2022,5/27/2022,OK,Charged Off,11027.73,7719.41,3308.32,24880.59,722,OK,722,23.97,23.97,OK,121500,4 years,4 years,OWN,ID,Idaho,OK
LN001540,E,E1,OK,home_improvement,60,3900,3900,OK,24.5,24.5,OK,113.33,1/17/2023,2/19/2023,OK,Current,3173.24,2062.61,1110.63,0,660,OK,660,41.31,41.31,OK,79800,10+ years,10+ years,RENT,KS,Kansas,OK
LN000645,B,B5,OK,credit_card,36,25700,25700,OK,9.53,9.53,OK,823.61,8/9/2023,9/9/2023,OK,Fully Paid,29805.54,25700,4105.54,0,680,OK,680,13.7,13.7,OK,149800,10+ years,10+ years,MORTGAGE,NC,North Carolina,OK
LN000094,C,C3,OK,major_purchase,60,34000,34000,OK,15.76,15.76,OK,822.48,4/7/2022,5/8/2022,OK,Fully Paid,48867.09,34000,14867.09,0,624,OK,624,29.1,29.1,OK,55800,2 years,2 years,MORTGAGE,NY,New York,OK
LN000970,A,A2,OK,small_business,36,28700,28700,OK,6.73,6.73,OK,882.63,9/29/2023,10/30/2023,OK,Current,6178.41,4015.97,2162.44,0,628,OK,628,12.48,12.48,OK,156600,8 years,8 years,RENT,MT,Montana,OK
LN001555,B,B3,OK,medical,36,10000,10000,OK,8.97,8.97,OK,317.86,6/1/2021,7/3/2021,OK,Current,2542.88,1652.87,890.01,0,602,OK,602,42.99,42.99,OK,116000,,MISSING,RENT,AZ,Arizona,OK
LN001175,D,D4,OK,renewable_energy,36,,,FLAGGED,18.12,18.12,OK,517.84,1/9/2021,2/9/2021,OK,Fully Paid,18734.09,14300,4434.09,0,804,OK,804,32.02,32.02,OK,234800,9 years,9 years,RENT,DE,Delaware,OK
LN002576,B,B3,OK,home_improvement,60,,,FLAGGED,9.06,9.06,OK,428.22,2/24/2022,3/26/2022,OK,Current,2141.1,1391.71,749.38,0,806,OK,806,11.56,11.56,OK,115200,1 year,1 year,OWN,OR,Oregon,OK
LN003154,D,D1,OK,major_purchase,36,18200,18200,OK,21.95,21.95,OK,694.6,10/22/2021,11/26/2021,OK,Fully Paid,25222.72,18200,7022.72,0,,ABOVE_MAX,862,43.26,43.26,OK,141200,1 year,1 year,MORTGAGE,AL,Alabama,OK
LN000804,D,D4,OK,debt_consolidation,36,28700,28700,OK,20.02,20.02,OK,1066.89,12/29/2023,1/28/2024,OK,Fully Paid,38543.54,28700,9843.54,0,680,OK,680,196.74,,DTI_IMPOSSIBLE,152800,9 years,9 years,OWN,WV,West Virginia,OK
LN001475,A,A2,OK,medical,36,2000,2000,OK,5.05,5.05,OK,59.99,7/23/2022,8/26/2022,OK,Fully Paid,2141.65,2000,141.65,0,762,OK,762,44.76,44.76,OK,210700,2 years,2 years,RENT,AL,Alabama,OK
LN000603,F,F1,OK,debt_consolidation,60,38300,38300,OK,30.4,30.4,OK,1248.56,6/19/2022,7/24/2022,OK,Fully Paid,74661.35,38300,36361.35,0,681,OK,681,43.82,43.82,OK,177800,4 years,4 years,RENT,PA,Pennsylvania,OK
LN001965,A,A4,OK,car,36,28100,28100,OK,7.32,7.32,OK,871.76,1/7/2023,2/8/2023,OK,Current,8717.6,5666.44,3051.16,0,778,OK,778,12.74,12.74,OK,93600,2 years,2 years,MORTGAGE,TN,Tennessee,OK
LN002729,D,D3,OK,debt_consolidation,36,32000,32000,OK,19.43,19.43,OK,1179.96,11/10/2023,12/14/2023,OK,Charged Off,4439.38,3107.57,1331.81,28892.43,767,OK,767,27.47,27.47,OK,160200,8 years,8 years,RENT,NJ,New Jersey,OK
LN001337,C,C1,OK,vacation,60,2700,2700,OK,13.29,13.29,OK,61.83,5/1/2022,6/1/2022,OK,Fully Paid,3686.93,2700,986.93,0,761,OK,761,11.17,11.17,OK,185000,2 years,2 years,MORTGAGE,RI,Rhode Island,OK
LN000949,A,A1,OK,car,36,1800,1800,OK,6.86,6.86,OK,55.46,11/24/2023,12/24/2023,OK,Current,1275.58,829.13,446.45,0,674,OK,674,6.54,6.54,OK,67500,7 years,7 years,RENT,AL,Alabama,OK
LN003177,B,B3,OK,renewable_energy,36,27800,27800,OK,9.99,9.99,OK,896.9,10/2/2023,11/5/2023,OK,Charged Off,1976.34,1383.44,592.9,26416.56,600,OK,600,29.04,29.04,OK,114400,2 years,2 years,MORTGAGE,MA,Massachusetts,OK
LN000803,B,B2,OK,debt_consolidation,36,7300,7300,OK,11.35,11.35,OK,240.2,10/5/2022,11/8/2022,OK,Current,2642.2,1717.43,924.77,0,789,OK,789,34.62,34.62,OK,135500,10+ years,10+ years,RENT,NC,North Carolina,OK
LN001766,A,A3,OK,home_improvement,60,10800,10800,OK,-5.06,,NEGATIVE_RATE,204.11,9/3/2022,10/1/2022,OK,Late (31-120 Days),816.44,571.51,244.93,0,696,OK,696,38.21,38.21,OK,125600,6 years,6 years,OWN,VT,Vermont,OK
LN000071,E,A4,GRADE_MISMATCH,major_purchase,36,10700,10700,OK,25.29,25.29,OK,427.07,8/19/2021,9/18/2021,OK,Current,2135.35,1387.98,747.37,0,659,OK,659,36.54,36.54,OK,38600,6 years,6 years,MORTGAGE,CO,Colorado,OK
LN000444,F,F4,OK,wedding,36,35400,35400,OK,31.28,31.28,OK,1527.71,11/6/2023,12/5/2023,OK,Fully Paid,55842.28,35400,20442.28,0,602,OK,602,8.21,8.21,OK,98200,3 years,3 years,MORTGAGE,CT,Connecticut,OK
LN002330,B,B2,OK,renewable_energy,60,18000,18000,OK,11.57,11.57,OK,396.5,4/16/2022,5/17/2022,OK,Charged Off,8965.94,6276.16,2689.78,11723.84,651,OK,651,27.16,27.16,OK,38300,,MISSING,OWN,AL,Alabama,OK
LN002454,A,A5,OK,vacation,36,33800,33800,OK,7.38,7.38,OK,1049.53,2/15/2021,3/18/2021,OK,Fully Paid,37124.49,33800,3324.49,0,725,OK,725,29.26,29.26,OK,220800,,MISSING,MORTGAGE,IN,Indiana,OK
LN001068,C,C2,OK,debt_consolidation,60,9400,9400,OK,16.32,16.32,OK,230.19,8/23/2022,9/26/2022,OK,Fully Paid,14018.86,9400,4618.86,0,665,OK,665,10.93,10.93,OK,82400,,MISSING,MORTGAGE,LA,Louisiana,OK
LN002637,A,A4,OK,wedding,60,36000,36000,OK,-7.24,,NEGATIVE_RATE,716.93,4/23/2023,5/27/2023,OK,Late (31-120 Days),4301.58,3011.11,1290.47,0,703,OK,703,17.94,17.94,OK,97600,5 years,5 years,RENT,ID,Idaho,OK
LN002773,G,G4,OK,moving,60,4400,4400,OK,34.08,34.08,OK,153.58,12/3/2023,1/6/2024,OK,Fully Paid,9183.2,4400,4783.2,0,815,OK,815,8.14,8.14,OK,117000,10+ years,10+ years,RENT,VA,Virginia,OK
LN002335,B,B3,OK,wedding,36,3700,3700,OK,10.98,10.98,OK,121.1,9/28/2022,10/30/2022,OK,Current,847.7,551,296.69,0,593,OK,593,40.09,40.09,OK,33600,2 years,2 years,OWN,AZ,Arizona,OK
LN002283,E,E5,OK,educational,36,32200,32200,OK,24.75,24.75,OK,1276.01,6/13/2023,7/12/2023,OK,Fully Paid,46495.76,32200,14295.76,0,721,OK,721,38.63,38.63,OK,136800,4 years,4 years,RENT,LA,Louisiana,OK
LN001415,F,F4,OK,major_purchase,60,3400,3400,OK,27.5,27.5,OK,104.84,9/21/2021,10/19/2021,OK,Current,5137.16,3339.15,1798.01,0,679,OK,679,35.39,35.39,OK,190100,1 year,1 year,MORTGAGE,WY,Wyoming,OK
LN000606,A,A2,OK,wedding,36,34900,34900,OK,7.52,7.52,OK,1085.93,12/8/2022,1/5/2023,OK,Fully Paid,38455.95,34900,3555.95,0,762,OK,762,41.68,41.68,OK,187800,8 years,8 years,OTHER,CO,Colorado,OK
LN000292,C,C5,OK,credit_card,36,4400,4400,OK,13.5,13.5,OK,149.32,4/24/2023,5/25/2023,OK,Current,5076.88,3299.97,1776.91,0,664,OK,664,19.29,19.29,OK,121000,1 year,1 year,MORTGAGE,IL,Illinois,OK
LN000565,B,B1,OK,renewable_energy,36,12700,12700,OK,10.13,10.13,OK,410.57,7/19/2023,8/19/2023,OK,Fully Paid,14919.21,12700,2219.21,0,788,OK,788,18.26,18.26,OK,178900,2 years,2 years,RENT,AL,Alabama,OK
LN002568,C,C4,OK,wedding,60,13600,13600,OK,15.03,15.03,OK,323.76,1/14/2023,2/11/2023,OK,Fully Paid,19560.37,13600,5960.37,0,620,OK,620,11.4,11.4,OK,36300,< 1 year,< 1 year,RENT,NC,North Carolina,OK
LN000408,B,B1,OK,educational,60,39300,39300,OK,9.56,9.56,OK,826.53,7/18/2022,8/19/2022,OK,Fully Paid,49538.56,39300,10238.56,0,623,OK,623,27.91,27.91,OK,144500,9 years,9 years,MORTGAGE,ME,Maine,OK
LN001107,A,A2,OK,medical,36,22200,22200,OK,5.33,5.33,OK,668.65,2/28/2023,3/31/2023,OK,Current,8692.45,5650.09,3042.36,0,648,OK,648,33.55,33.55,OK,242400,10+ years,10+ years,MORTGAGE,PA,Pennsylvania,OK
LN002385,E,E2,OK,major_purchase,60,26700,26700,OK,26.2,26.2,OK,802.57,3/10/2021,4/7/2021,OK,Fully Paid,48861.77,26700,22161.77,0,740,OK,740,24.36,24.36,OK,175000,1 year,1 year,RENT,CA,California,OK
LN000552,B,B2,OK,medical,60,19500,19500,OK,8.63,8.63,OK,401.3,11/18/2022,12/23/2022,OK,Late (31-120 Days),4815.6,3370.92,1444.68,0,735,OK,735,13.36,13.36,OK,105300,10+ years,10+ years,MORTGAGE,DE,Delaware,OK
LN001237,B,B1,OK,medical,60,15000,15000,OK,8.6,8.6,OK,308.47,3/16/2021,4/19/2021,OK,Fully Paid,18184.81,15000,3184.81,0,773,OK,773,34.61,34.61,OK,51700,9 years,9 years,RENT,KY,Kentucky,OK
LN001573,D,D5,OK,vacation,60,2200,2200,OK,20.71,20.71,OK,59.16,5/8/2022,6/10/2022,OK,Current,2543.88,1653.52,890.36,0,662,OK,662,38.93,38.93,OK,148900,6 years,6 years,RENT,DE,Delaware,OK
LN001996,E,E4,OK,medical,36,12500,12500,OK,23.3,23.3,OK,485.83,12/15/2021,12/10/2021,DATE_SEQUENCE_ERROR,Current,15060.73,9789.47,5271.26,0,665,OK,665,41.5,41.5,OK,229700,10+ years,10+ years,RENT,MI,Michigan,OK
LN001427,B,B4,OK,moving,36,12300,12300,OK,9.18,9.18,OK,392.17,11/27/2022,12/28/2022,OK,Charged Off,6526.57,4568.6,1957.97,7731.4,597,OK,597,188.65,,DTI_IMPOSSIBLE,123100,9 years,9 years,OWN,RI,Rhode Island,OK
LN000197,B,B1,OK,credit_card,36,16300,16300,OK,8.98,8.98,OK,518.18,8/26/2022,9/25/2022,OK,Current,6218.16,4041.8,2176.36,0,597,OK,597,26.22,26.22,OK,28400,6 years,6 years,RENT,MN,Minnesota,OK
LN003263,C,C5,OK,medical,60,16600,16600,OK,15.6,15.6,OK,400.16,8/8/2022,9/11/2022,OK,Current,14405.76,9363.74,5042.02,0,716,OK,716,28.29,28.29,OK,232100,4 years,4 years,RENT,WV,West Virginia,OK
