event_id,loan_id,payment_month,payment_date,payment_date_flag,amount_paid,amount_flag,payment_status
PE0009098,LN003286,57,6/19/2026,OK,533.69,OK,ON_TIME
PE0017258,LN003267,25,7/29/2024,OK,377.54,OK,ON_TIME
PE0000222,LN002594,12,3/22/2023,OK,24.19,OK,ON_TIME
PE0018145,LN002704,6,3/6/2022,OK,233.55,OK,ON_TIME
PE0019163,LN000395,21,9/23/2022,OK,1135.33,OK,ON_TIME
PE0002735,LN001702,25,8/6/2024,OK,891.66,OK,LATE
PE0020052,LN000319,12,6/14/2022,OK,326.76,OK,ON_TIME
PE0022796,LN000852,31,8/28/2023,OK,588.3,OK,ON_TIME
PE0018831,LN002320,48,4/1/2027,OK,781.12,OK,ON_TIME
PE0001596,LN000241,10,1/29/2023,OK,1408.45,OK,ON_TIME
PE0002609,LN002453,7,1/15/2024,OK,134.82,OK,ON_TIME
PE0003779,LN000472,6,2/13/2023,OK,1217.16,OK,ON_TIME
PE0005212,LN001882,31,1/19/2025,OK,318.57,OK,ON_TIME
PE0002309,LN001364,6,5/7/2022,OK,1088.25,OK,LATE
PE0019982,LN003109,21,2/6/2024,OK,964.55,OK,ON_TIME
PE0017604,LN001111,24,9/14/2024,OK,184.95,OK,ON_TIME
PE0017630,LN000440,14,7/20/2024,OK,1350.22,OK,ON_TIME
PE0004259,LN001468,2,5/24/2023,OK,1092.47,OK,ON_TIME
PE0004346,LN002960,17,6/17/2024,OK,1430.98,OK,ON_TIME
PE0019738,LN002124,47,6/13/2026,OK,179.42,OK,ON_TIME
PE0012644,LN001764,29,12/17/2023,OK,205.88,OK,ON_TIME
PE0015448,LN002745,1,9/1/2021,OK,1115,OK,ON_TIME
PE0013279,LN000628,43,3/7/2025,OK,912.4,OK,ON_TIME
PE0000961,LN003301,18,11/22/2022,OK,364.2,OK,ON_TIME
PE0006367,LN001949,16,12/2/2024,OK,486.89,OK,ON_TIME
PE0016589,LN002817,28,4/8/2026,OK,623.55,OK,ON_TIME
PE0016615,LN002072,18,12/29/2024,OK,530.69,OK,ON_TIME
PE0017819,LN001065,5,8/10/2021,OK,138.11,OK,ON_TIME
PE0009964,LN002681,7,9/26/2023,OK,865.5,OK,ON_TIME
PE0003101,LN000906,29,1/29/2025,OK,349.24,OK,ON_TIME
PE0015457,LN002745,10,5/29/2022,OK,1025.44,OK,ON_TIME
PE0017699,LN002755,3,2/5/2024,OK,345.8,OK,ON_TIME
PE0010225,LN000751,1,1/19/2022,OK,181.34,OK,ON_TIME
PE0022216,LN002781,5,4/19/2024,OK,755.48,OK,ON_TIME
PE0013041,LN002709,14,7/26/2023,OK,1272.06,OK,ON_TIME
PE0014559,LN000408,30,1/3/2025,OK,809.49,OK,ON_TIME
PE0011998,LN001428,14,2/2/2025,OK,1178.04,OK,ON_TIME
PE0010330,LN001513,60,12/18/2027,OK,298.88,OK,ON_TIME
PE0017282,LN002101,13,9/11/2023,OK,563.33,OK,ON_TIME
PE0016939,LN002930,30,3/21/2026,OK,191.96,OK,LATE
PE0016989,LN000183,8,8/9/2024,OK,938.53,OK,ON_TIME
PE0012039,LN002853,36,6/23/2024,OK,292.91,OK,ON_TIME
PE0022590,LN001440,23,4/29/2025,OK,827.44,OK,ON_TIME
PE0012211,LN002395,19,5/8/2024,OK,943.34,OK,ON_TIME
PE0018080,LN000206,36,8/6/2024,OK,144.57,OK,ON_TIME
PE0012189,LN002789,57,7/1/2026,OK,158.49,OK,ON_TIME
PE0019435,LN003235,6,9/7/2021,OK,25.53,OK,ON_TIME
PE0017076,LN002760,1,5/24/2021,OK,528.83,OK,ON_TIME
PE0013745,LN001539,4,8/5/2021,OK,40.67,OK,ON_TIME
PE0018540,LN002427,55,7/19/2025,OK,490.22,OK,ON_TIME
PE0008828,LN001939,2,12/18/2023,OK,592.72,OK,ON_TIME
PE0021789,LN001753,39,10/11/2025,OK,34.66,OK,ON_TIME
PE0003383,LN001625,2,5/20/2021,OK,959.13,OK,ON_TIME
PE0004703,LN000093,8,1/12/2024,OK,749.87,OK,ON_TIME
PE0000424,LN000686,26,6/26/2024,OK,455.18,OK,ON_TIME
PE0000211,LN002594,1,4/26/2022,OK,23.7,OK,ON_TIME
PE0020193,LN001888,7,6/17/2022,OK,598.14,OK,ON_TIME
PE0000200,LN003340,12,2/19/2023,OK,326.27,OK,ON_TIME
PE0019572,LN001255,7,4/5/2024,OK,820.96,OK,ON_TIME
PE0018188,LN003437,13,12/7/2023,OK,331.78,OK,ON_TIME
PE0012524,LN000816,22,7/5/2023,OK,880.59,OK,ON_TIME
PE0009464,LN001558,31,3/17/2025,OK,420.69,OK,ON_TIME
PE0014003,LN003468,1,6/3/2021,OK,165.63,OK,ON_TIME
PE0022046,LN002111,14,11/5/2022,OK,282.53,OK,ON_TIME
PE0008952,LN003174,10,4/30/2024,OK,71.24,OK,ON_TIME
PE0021075,LN002442,22,6/2/2024,OK,437.49,OK,ON_TIME
PE0014778,LN002689,5,10/30/2023,OK,1282.89,OK,ON_TIME
PE0018408,LN000888,32,12/14/2024,OK,708.39,OK,ON_TIME
PE0005534,LN002318,30,5/18/2025,OK,707.5,OK,ON_TIME
PE0018342,LN003105,50,4/9/2026,OK,922.02,OK,ON_TIME
PE0015944,LN000497,12,3/14/2023,OK,375.05,OK,ON_TIME
PE0006483,LN001132,12,11/30/2022,OK,617.71,OK,ON_TIME
PE0021310,LN001177,5,12/9/2021,OK,239.81,OK,ON_TIME
PE0005116,LN000146,11,7/16/2022,OK,966.01,OK,ON_TIME
PE0010512,LN002737,4,12/6/2021,OK,727.55,OK,ON_TIME
PE0006663,LN001196,6,11/23/2023,OK,902.66,OK,ON_TIME
PE0005497,LN001627,29,9/12/2024,OK,688.32,OK,ON_TIME
PE0010355,LN002840,19,11/22/2023,OK,397.67,OK,ON_TIME
PE0020156,LN002517,30,6/22/2023,OK,693.02,OK,ON_TIME
PE0004686,LN001493,8,8/24/2024,OK,753.01,OK,ON_TIME
PE0017744,LN001115,12,4/24/2022,OK,332.95,OK,ON_TIME
PE0001088,LN002189,7,12/30/2021,OK,304.99,OK,LATE
PE0018604,LN000883,59,11/16/2025,OK,85.68,OK,ON_TIME
PE0009153,LN000129,4,12/18/2023,OK,1054.31,OK,ON_TIME
PE0008060,LN002225,1,11/22/2021,OK,601.99,OK,ON_TIME
PE0005333,LN003073,3,9/13/2023,OK,572.56,OK,ON_TIME
PE0008973,LN003174,31,1/20/2026,OK,72.48,OK,ON_TIME
PE0022746,LN000272,17,4/18/2023,OK,1215.89,OK,ON_TIME
PE0015565,LN002792,28,8/21/2025,OK,1179.06,OK,LATE
PE0006346,LN002061,31,3/14/2025,OK,395.19,OK,ON_TIME
PE0010710,LN001276,22,1/13/2024,OK,169.09,OK,ON_TIME
PE0013882,LN000426,9,6/21/2022,OK,118.62,OK,ON_TIME
PE0005930,LN003018,4,3/3/2023,OK,622.91,OK,ON_TIME
PE0022023,LN000471,51,5/30/2026,OK,586.26,OK,ON_TIME
PE0013292,LN000628,56,4/1/2026,OK,867.59,OK,ON_TIME
PE0002684,LN003135,10,12/9/2021,OK,1217.06,OK,ON_TIME
PE0017446,LN001418,19,10/26/2022,OK,551.46,OK,ON_TIME
PE0020770,LN001516,31,10/31/2025,OK,809.69,OK,ON_TIME
PE0017196,LN000336,27,10/16/2025,OK,911.48,OK,ON_TIME
PE0003508,LN002505,58,7/27/2026,OK,582.16,OK,ON_TIME
PE0005164,LN000570,43,1/6/2027,OK,163.84,OK,ON_TIME
PE0010263,LN002620,29,1/27/2026,OK,491.69,OK,ON_TIME
PE0012929,LN001724,10,9/19/2024,OK,1169.74,OK,ON_TIME
PE0002767,LN003453,4,2/26/2024,OK,265.69,OK,ON_TIME
PE0023390,LN000977,21,2/22/2023,OK,238.85,OK,ON_TIME
PE0009000,LN001523,22,1/4/2025,OK,446.05,OK,ON_TIME
PE0005215,LN001882,34,4/19/2025,OK,307.31,OK,ON_TIME
PE0021264,LN003422,24,4/10/2023,OK,982.1,OK,ON_TIME
PE0005842,LN001613,1,1/13/2023,OK,1005.87,OK,ON_TIME
PE0008686,LN002504,7,4/22/2023,OK,112.07,OK,ON_TIME
PE0011013,LN001823,13,3/27/2024,OK,393.16,OK,ON_TIME
PE0008083,LN000732,8,8/11/2023,OK,54.09,OK,ON_TIME
PE0001203,LN001250,9,8/1/2023,OK,507.25,OK,ON_TIME
PE0019668,LN000528,37,8/21/2024,OK,768.28,OK,ON_TIME
PE0000697,LN003451,21,10/23/2024,OK,119.36,OK,ON_TIME
PE0009702,LN002995,12,8/20/2024,OK,1122.7,OK,ON_TIME
PE0011863,LN000287,27,10/2/2025,OK,60.83,OK,ON_TIME
PE0006804,LN000905,35,9/12/2024,OK,1330.5,OK,ON_TIME
PE0008165,LN001413,7,11/11/2022,OK,250.33,OK,ON_TIME
PE0020572,LN003447,8,1/21/2024,OK,1192.11,OK,ON_TIME
PE0015121,LN000593,18,2/12/2023,OK,752.6,OK,ON_TIME
PE0011072,LN001438,12,2/13/2022,OK,162.1,OK,ON_TIME
PE0014295,LN000842,2,3/29/2023,OK,1023.59,OK,ON_TIME
PE0013513,LN001289,36,12/15/2024,OK,333.62,OK,ON_TIME
PE0010017,LN000801,3,2/4/2022,OK,836.98,OK,ON_TIME
PE0020348,LN000981,12,4/12/2022,OK,201.3,OK,ON_TIME
PE0021368,LN000498,3,9/28/2021,OK,1297.49,OK,ON_TIME
PE0005571,LN001185,7,9/14/2021,OK,878.96,OK,ON_TIME
PE0021544,LN001704,20,6/24/2024,OK,53.12,OK,ON_TIME
PE0021479,LN001648,2,10/4/2023,OK,860.02,OK,ON_TIME
PE0002042,LN000825,10,10/5/2024,OK,933.66,OK,ON_TIME
PE0017069,LN002625,54,3/20/2027,OK,570.56,OK,ON_TIME
PE0005928,LN003018,2,1/2/2023,OK,631.53,OK,ON_TIME
PE0001064,LN001313,9,7/30/2024,OK,801.06,OK,ON_TIME
PE0009283,LN001803,2,4/28/2021,OK,1033.25,OK,ON_TIME
PE0011574,LN001757,3,4/10/2022,OK,856.57,OK,ON_TIME
PE0000504,LN002057,10,7/20/2022,OK,1008.37,OK,ON_TIME
PE0015317,LN002848,2,11/19/2022,OK,683.18,OK,ON_TIME
PE0001676,LN002950,8,8/9/2023,OK,301.48,OK,ON_TIME
PE0018224,LN000032,21,11/29/2024,OK,1009.3,OK,ON_TIME
PE0008082,LN000732,7,7/12/2023,OK,55.72,OK,ON_TIME
PE0010338,LN002840,2,6/30/2022,OK,380.03,OK,ON_TIME
PE0007684,LN002082,6,9/29/2022,OK,213.3,OK,ON_TIME
PE0009377,LN002540,28,9/4/2024,OK,675.46,OK,ON_TIME
PE0021059,LN002442,6,2/8/2023,OK,428.14,OK,ON_TIME
PE0012951,LN002708,7,4/23/2022,OK,291.92,OK,ON_TIME
PE0002623,LN002453,21,3/10/2025,OK,140.26,OK,ON_TIME
PE0002716,LN001702,6,1/14/2023,OK,888.26,OK,ON_TIME
PE0017018,LN002625,3,1/10/2023,OK,547.81,OK,ON_TIME
PE0016116,LN002054,58,2/12/2026,OK,254.09,OK,ON_TIME
PE0005332,LN003073,2,8/14/2023,OK,574.27,OK,ON_TIME
PE0006690,LN000549,17,7/16/2024,OK,416.54,OK,ON_TIME
PE0017041,LN002625,26,11/30/2024,OK,591.74,OK,ON_TIME
PE0008623,LN002423,4,4/10/2022,OK,705.52,OK,ON_TIME
PE0012134,LN002789,2,12/24/2021,OK,152.81,OK,ON_TIME
PE0006922,LN001563,17,8/28/2022,OK,387.75,OK,ON_TIME
PE0000281,LN001845,11,9/18/2024,OK,639.75,OK,ON_TIME
PE0018111,LN003387,27,1/12/2025,OK,71.49,OK,ON_TIME
PE0011450,LN002589,13,1/7/2024,OK,364.63,OK,ON_TIME
PE0021274,LN003422,34,2/4/2024,OK,1018,OK,ON_TIME
PE0003659,LN000033,25,8/29/2024,OK,450.9,OK,ON_TIME
PE0013742,LN001539,1,5/7/2021,OK,43.28,OK,ON_TIME
PE0008031,LN002416,8,7/25/2023,OK,926.73,OK,ON_TIME
PE0008798,LN003118,8,12/6/2023,OK,927.05,OK,ON_TIME
PE0003734,LN001273,25,7/13/2023,OK,675.49,OK,ON_TIME
PE0021729,LN001236,51,8/23/2025,OK,795.18,OK,ON_TIME
PE0000470,LN001908,12,9/5/2023,OK,73.84,OK,ON_TIME
PE0021794,LN001753,44,3/10/2026,OK,34.65,OK,ON_TIME
PE0022153,LN000892,25,4/29/2024,OK,126.86,OK,ON_TIME
PE0000168,LN002818,16,5/30/2022,OK,1378.01,OK,ON_TIME
PE0023458,LN003015,29,1/27/2026,OK,149.47,OK,ON_TIME
PE0017931,LN003409,16,1/12/2025,OK,610.35,OK,ON_TIME
PE0019434,LN003235,5,8/8/2021,OK,27.16,OK,ON_TIME
PE0020817,LN000381,23,1/17/2025,OK,549.98,OK,ON_TIME
PE0015394,LN001794,2,12/17/2023,OK,1175.79,OK,ON_TIME
PE0011604,LN001757,33,9/26/2024,OK,857.56,OK,ON_TIME
PE0023174,LN001092,30,9/1/2023,OK,377.04,OK,ON_TIME
PE0008289,LN002983,11,10/27/2023,OK,880.56,OK,ON_TIME
PE0000248,LN002594,38,5/10/2025,OK,24.27,OK,ON_TIME
PE0013749,LN001539,8,12/3/2021,OK,41.77,OK,LATE
PE0006919,LN001563,14,5/30/2022,OK,383.67,OK,LATE
PE0020658,LN002015,24,4/29/2025,OK,405.68,OK,ON_TIME
PE0008986,LN001523,8,11/11/2023,OK,460.79,OK,ON_TIME
PE0001148,LN002587,7,3/2/2023,OK,243.41,OK,ON_TIME
PE0017785,LN003291,17,2/23/2024,OK,305.03,OK,ON_TIME
PE0018730,LN000595,26,2/27/2024,OK,1083.48,OK,ON_TIME
PE0009040,LN000856,2,2/26/2024,OK,779.01,OK,ON_TIME
PE0018529,LN002427,44,8/23/2024,OK,481.93,OK,ON_TIME
PE0010366,LN002840,30,10/17/2024,OK,381.43,OK,ON_TIME
PE0018139,LN002262,11,11/25/2022,OK,774.44,OK,ON_TIME
PE0008758,LN000486,34,8/26/2026,OK,493.96,OK,LATE
PE0000682,LN003451,6,7/31/2023,OK,121.08,OK,ON_TIME
PE0011716,LN003423,19,2/1/2023,OK,200.43,OK,ON_TIME
PE0001428,LN002821,7,10/26/2023,OK,77.86,OK,ON_TIME
PE0007517,LN002181,12,3/21/2022,OK,1136.87,OK,ON_TIME
PE0010045,LN002437,1,5/1/2021,OK,604.27,OK,LATE
PE0009069,LN003286,28,1/31/2024,OK,507.45,OK,ON_TIME
PE0007886,LN002487,11,6/22/2024,OK,755.31,OK,ON_TIME
PE0007305,LN002975,25,6/23/2023,OK,147.61,OK,ON_TIME
PE0011656,LN002373,25,8/10/2023,OK,669.71,OK,ON_TIME
PE0000972,LN003301,29,10/18/2023,OK,356.79,OK,ON_TIME
PE0001890,LN001337,57,1/5/2027,OK,62.31,OK,ON_TIME
PE0002146,LN000706,38,1/16/2025,OK,562.2,OK,ON_TIME
PE0018871,LN002797,5,8/18/2022,OK,945.47,OK,ON_TIME
PE0015402,LN001794,10,8/13/2024,OK,1157.44,OK,ON_TIME
PE0020045,LN000319,5,11/16/2021,OK,335.04,OK,ON_TIME
PE0014619,LN001611,2,2/1/2023,OK,54.21,OK,ON_TIME
PE0006291,LN000937,50,7/16/2022,OK,341.55,OK,ON_TIME
PE0003922,LN000443,40,1/26/2026,OK,321.65,OK,ON_TIME
PE0003051,LN000022,22,11/24/2024,OK,1275.71,OK,ON_TIME
PE0005218,LN001882,37,7/18/2025,OK,300.05,OK,ON_TIME
PE0007862,LN003448,56,7/18/2027,OK,264.04,OK,ON_TIME
PE0009361,LN002540,12,5/13/2023,OK,678.11,OK,ON_TIME
PE0018267,LN003049,4,4/3/2022,OK,429.9,OK,ON_TIME
PE0021723,LN001236,45,2/24/2025,OK,811.31,OK,ON_TIME
PE0007678,LN000548,7,10/6/2022,OK,585.03,OK,ON_TIME
PE0012218,LN002395,26,12/4/2024,OK,912.8,OK,ON_TIME
PE0020240,LN001888,54,4/27/2026,OK,564.59,OK,ON_TIME
PE0022748,LN000272,19,6/17/2023,OK,1137.38,OK,ON_TIME
PE0003227,LN002242,23,10/27/2025,OK,629.74,OK,ON_TIME
PE0013378,LN002846,55,11/25/2026,OK,572.71,OK,ON_TIME
PE0005039,LN002640,25,11/3/2023,OK,1444.64,OK,ON_TIME
PE0000260,LN002594,50,5/5/2026,OK,25.4,OK,ON_TIME
PE0002768,LN003453,5,3/27/2024,OK,267.38,OK,ON_TIME
PE0000521,LN002057,27,12/12/2023,OK,989.89,OK,ON_TIME
PE0013671,LN003348,9,10/2/2022,OK,119.91,OK,ON_TIME
PE0019734,LN002124,43,2/13/2026,OK,192.01,OK,ON_TIME
PE0022039,LN002111,7,4/9/2022,OK,298.51,OK,ON_TIME
PE0006294,LN000937,53,12/11/2026,OK,360.96,OK,ON_TIME
PE0005884,LN001613,43,6/26/2026,OK,970.93,OK,ON_TIME
PE0000517,LN002057,23,8/14/2023,OK,1006.8,OK,ON_TIME
PE0022680,LN000893,29,2/18/2024,OK,1225.57,OK,ON_TIME
PE0008591,LN002606,8,11/29/2021,OK,201.28,OK,ON_TIME
PE0003317,LN003316,5,9/10/2023,OK,434.28,OK,ON_TIME
PE0005260,LN000923,15,2/12/2024,OK,973.35,OK,ON_TIME
PE0008059,LN002416,36,11/11/2025,OK,894.7,OK,ON_TIME
PE0012537,LN000816,35,7/29/2024,OK,881.33,OK,ON_TIME
PE0008899,LN001825,55,4/3/2028,OK,242.58,OK,ON_TIME
PE0004973,LN002281,4,1/21/2022,OK,920.06,OK,ON_TIME
PE0016272,LN000822,27,5/17/2024,OK,402.39,OK,ON_TIME
PE0011618,LN001757,47,11/20/2025,OK,900.02,OK,ON_TIME
PE0005993,LN002627,12,11/30/2024,OK,265.35,OK,ON_TIME
PE0010883,LN002005,34,12/23/2023,OK,541.46,OK,ON_TIME
