loan_id,loan_grade,loan_subgrade,loan_purpose,loan_term_months,loan_amount,interest_rate,installment,issue_date,first_payment_date,loan_status,total_payment,principal_received,interest_received,charged_off_amount,credit_score,dti,annual_income,employment_length,home_ownership,addr_state
LN003328,B,B2,home_improvement,60,3600.0,11.01,78.29,2021-08-07,2021-09-07,CURRENT,2192.12,1424.88,767.24,0.0,589.0,41.29,49100,2 years,OWN,OK
LN001026,C,C3,small_business,36,,14.57,623.64,2023-09-13,2023-10-17,Fully Paid,22538.83,18100.0,4438.83,0.0,751.0,31.36,82000,9 years,MORTGAGE,IL
LN002190,A,A3,car,36,23000.0,6.98,709.96,2023-12-18,2023-12-15,Charged Off,12743.96,8920.77,3823.19,14079.23,750.0,40.92,169700,10+ years,RENT,MI
LN000882,C,C2,home_improvement,36,12600.0,14.34,432.72,2021-10-07,2021-11-09,Fully Paid,15871.68,12600.0,3271.68,0.0,646.0,15.21,34400,1 year,MORTGAGE,NV
LN002794,A,A3,car,36,4200.0,5.75,127.3,2021-06-20,2021-07-22,Fully Paid,4582.75,4200.0,382.75,0.0,601.0,32.73,52600,5 years,RENT,SD
LN002845,D,D3,home_improvement,60,33100.0,18.81,855.18,2021-02-16,2021-03-18,Current,20524.32,13340.81,7183.51,0.0,581.0,19.71,246600,5 years,RENT,LA
LN001377,C,C4,small_business,60,28900.0,14.35,677.71,2021-09-15,2021-10-14,Current,22364.43,14536.88,7827.55,0.0,744.0,30.44,227800,3 years,RENT,CT
LN001172,E,E2,moving,60,30300.0,26.71,919.98,2021-05-31,2021-07-03,Fully Paid,54670.5,30300.0,24370.5,0.0,755.0,32.22,159200,2 years,MORTGAGE,WA
LN003424,A,A1,renewable_energy,36,15200.0,6.54,466.14,2021-02-13,2021-03-19,Fully Paid,16721.43,15200.0,1521.43,0.0,639.0,22.56,178100,< 1 year,MORTGAGE,HI
LN000052,B,B5,car,36,32700.0,8.71,1035.44,2021-08-18,2021-09-16,late (31-120 days),4141.76,2899.23,1242.53,0.0,740.0,13.44,58200,1 year,RENT,CA
LN000352,A,A3,moving,36,30200.0,7.78,943.3,2022-08-10,2022-09-09,Fully Paid,33904.97,30200.0,3704.97,0.0,619.0,10.54,175300,,RENT,KY
LN001878,A,A3,educational,36,39300.0,6.83,1210.42,2021-03-09,2021-04-08,Current,38733.44,25176.74,13556.7,0.0,703.0,30.44,102000,3 years,MORTGAGE,CO
LN000863,E,E3,wedding,36,2800.0,25.93,112.71,2023-01-30,2023-03-01,Charged Off,179.95,125.96,53.98,2674.04,871.0,19.83,173500,8 years,RENT,VA
LN000535,A,A2,vacation,60,7600.0,7.9,153.74,2023-02-05,2023-03-06,Current,4919.68,3197.79,1721.89,0.0,701.0,6.3,89200,10+ years,RENT,DE
LN002894,D,D2,moving,60,,21.46,1084.32,2021-10-19,2021-11-17,Charged Off,17030.77,11921.54,5109.23,27778.46,759.0,9.65,131900,1 year,RENT,ID
LN002828,C,C1,car,36,27700.0,15.18,962.67,2023-12-11,2024-01-14,Current,9626.7,6257.36,3369.35,0.0,165.0,18.73,175200,7 years,MORTGAGE,CO
LN002919,B,B1,debt_consolidation,36,16000.0,8.63,506.04,2021-12-05,2022-01-06,Current,9614.76,6249.59,3365.17,0.0,797.0,19.35,214200,4 years,MORTGAGE,ME
LN001045,C,C4,moving,36,34100.0,16.27,1203.41,2023-05-02,2023-06-04,Current,33695.48,21902.06,11793.42,0.0,772.0,15.06,191900,2 years,MORTGAGE,FL
LN003352,E,E4,moving,36,29500.0,24.63,1167.15,2023-09-14,2023-10-19,Fully Paid,41615.22,29500.0,12115.22,0.0,614.0,13.98,217900,,RENT,DE
LN000171,C,C3,car,36,,14.05,755.86,2023-10-21,2023-11-19,Current,13605.48,8843.56,4761.92,0.0,726.0,25.84,180900,2 years,RENT,LA
LN000140,B,B1,credit_card,60,12800.0,10.37,274.3,2021-05-21,2021-06-18,Late (31-120 days),822.9,576.03,246.87,0.0,686.0,40.29,97000,10+ years,RENT,MT
LN001214,C,C2,major_purchase,36,3400.0,15.75,119.11,2022-01-18,2022-02-19,Fully Paid,4293.22,3400.0,893.22,0.0,650.0,24.68,106700,9 years,RENT,VA
