event_id,loan_id,payment_month,payment_date,amount_paid,payment_status
PE0017747,LN001115,15,2022-07-23,345.05,ON_TIME
PE0005219,LN001882,38,2025-08-17,298.41,ON_TIME
PE0008674,LN002423,55,2026-06-18,702.84,ON_TIME
PE0008488,LN000039,13,2024-08-25,69.43,LATE
PE0018720,LN000595,16,2023-05-03,1099.38,ON_TIME
PE0016963,LN001748,18,2022-09-01,309.95,ON_TIME
PE0002120,LN000706,12,2022-11-28,573.41,ON_TIME
PE0012417,LN000652,34,2023-12-13,205.84,ON_TIME
PE0013619,LN002839,36,2026-08-30,732.17,ON_TIME
PE0023112,LN002628,15,2025-03-10,741.14,ON_TIME
PE0002773,LN003453,10,2024-08-24,279.4,ON_TIME
PE0010773,LN001484,49,2027-01-03,32.79,ON_TIME
PE0001430,LN002821,9,2023-12-25,82.23,ON_TIME
PE0000641,LN000868,43,2025-08-28,109.79,ON_TIME
PE0013089,LN002959,32,2024-07-19,558.3,ON_TIME
PE0005505,LN002318,1,2022-12-30,761.22,ON_TIME
PE0001581,LN002653,31,2024-06-23,1134.72,ON_TIME
PE0020579,LN002527,3,2022-07-15,895.09,ON_TIME
PE0002863,LN002478,10,2022-06-11,188.32,ON_TIME
PE0001053,LN001746,34,2026-05-29,429.39,ON_TIME
PE0021176,LN000796,9,2024-02-09,395.33,ON_TIME
PE0020541,LN003490,37,2025-09-17,389.81,ON_TIME
PE0017431,LN001418,4,2021-08-02,574.99,ON_TIME
PE0018655,LN002383,20,2024-11-24,1319.72,ON_TIME
PE0011192,LN003111,17,2024-10-02,755.19,ON_TIME
PE0012965,LN002708,21,2023-06-17,279.8,ON_TIME
PE0006424,LN000322,13,2024-12-28,481.04,ON_TIME
PE0017847,LN002132,4,2021-08-26,292.87,ON_TIME
PE0021087,LN000450,11,2023-07-19,1172.74,ON_TIME
PE0020312,LN001008,46,2025-02-22,617.05,ON_TIME
PE0017921,LN003409,6,2024-03-18,642.79,LATE
PE0019513,LN003149,20,2025-03-31,181.5,ON_TIME
PE0001881,LN001337,48,2026-04-10,63.66,ON_TIME
PE0007514,LN002181,9,2021-12-21,1129.37,ON_TIME
PE0014855,LN001675,43,2025-08-18,71.48,ON_TIME
PE0002852,LN001243,13,2022-12-31,115.94,ON_TIME
PE0001476,LN001404,21,2025-02-07,1436.16,LATE
PE0015085,LN000704,18,2022-09-11,1302.2,ON_TIME
PE0012643,LN001764,28,2023-11-17,200.26,ON_TIME
PE0014373,LN003417,16,2023-01-30,833.63,ON_TIME
PE0008452,LN000088,13,2023-08-06,726.36,ON_TIME
PE0019025,LN000434,33,2026-08-01,377.95,ON_TIME
PE0015629,LN001262,3,2021-06-07,592.52,ON_TIME
PE0015943,LN000497,11,2023-02-12,367.38,ON_TIME
PE0007758,LN002670,12,2023-10-24,402.03,ON_TIME
PE0012514,LN000816,12,2022-09-08,882.03,LATE
PE0002142,LN000706,34,2024-09-18,547.91,ON_TIME
PE0006378,LN001949,27,2025-10-28,499.83,ON_TIME
PE0015164,LN001752,13,2024-01-20,451.48,ON_TIME
PE0007091,LN003006,26,2025-09-02,702.35,ON_TIME
PE0017124,LN000079,15,2023-01-10,295.17,ON_TIME
PE0017698,LN002755,2,2024-01-06,338.17,ON_TIME
PE0018454,LN002259,6,2021-10-25,1417.94,LATE
PE0016124,LN000861,6,2024-02-09,159.26,ON_TIME
PE0010902,LN003240,2,2023-04-18,1061.67,ON_TIME
PE0004190,LN002248,21,2024-03-15,858.63,ON_TIME
PE0016997,LN001584,7,2021-12-12,963.08,ON_TIME
PE0004852,LN003112,10,2023-09-09,542.67,ON_TIME
PE0003442,LN003246,22,2025-03-22,980.31,ON_TIME
PE0013594,LN002839,11,2024-08-10,682.14,ON_TIME
PE0004679,LN001493,1,2024-01-27,744.28,ON_TIME
PE0006144,LN001268,57,2026-03-14,426.42,ON_TIME
PE0001193,LN002047,2,2022-08-08,896.24,ON_TIME
PE0004967,LN002473,34,2025-12-03,475.31,ON_TIME
PE0009098,LN003286,57,2026-06-19,533.69,ON_TIME
PE0017258,LN003267,25,2024-07-29,377.54,ON_TIME
PE0000222,LN002594,12,2023-03-22,24.19,ON_TIME
PE0018145,LN002704,6,2022-03-06,233.55,ON_TIME
PE0019163,LN000395,21,2022-09-23,1135.33,ON_TIME
PE0002735,LN001702,25,2024-08-06,891.66,LATE
PE0020052,LN000319,12,2022-06-14,326.76,ON_TIME
PE0022796,LN000852,31,2023-08-28,588.3,ON_TIME
PE0018831,LN002320,48,2027-04-01,781.12,ON_TIME
PE0001596,LN000241,10,2023-01-29,1408.45,ON_TIME
PE0002609,LN002453,7,2024-01-15,134.82,ON_TIME
PE0003779,LN000472,6,2023-02-13,1217.16,ON_TIME
PE0005212,LN001882,31,2025-01-19,318.57,ON_TIME
PE0002309,LN001364,6,2022-05-07,1088.25,LATE
PE0019982,LN003109,21,2024-02-06,964.55,ON_TIME
PE0017604,LN001111,24,2024-09-14,184.95,ON_TIME
PE0017630,LN000440,14,2024-07-20,1350.22,ON_TIME
PE0004259,LN001468,2,2023-05-24,1092.47,ON_TIME
PE0004346,LN002960,17,2024-06-17,1430.98,ON_TIME
PE0019738,LN002124,47,2026-06-13,179.42,ON_TIME
PE0012644,LN001764,29,2023-12-17,205.88,ON_TIME
PE0015448,LN002745,1,2021-09-01,1115.0,ON_TIME
PE0013279,LN000628,43,2025-03-07,912.4,ON_TIME
PE0000961,LN003301,18,2022-11-22,364.2,ON_TIME
PE0006367,LN001949,16,2024-12-02,486.89,ON_TIME
PE0016589,LN002817,28,2026-04-08,623.55,ON_TIME
PE0016615,LN002072,18,2024-12-29,530.69,ON_TIME
PE0017819,LN001065,5,2021-08-10,138.11,ON_TIME
PE0009964,LN002681,7,2023-09-26,865.5,ON_TIME
PE0003101,LN000906,29,2025-01-29,349.24,ON_TIME
PE0015457,LN002745,10,2022-05-29,1025.44,ON_TIME
PE0017699,LN002755,3,2024-02-05,345.8,ON_TIME
PE0010225,LN000751,1,2022-01-19,181.34,ON_TIME
PE0022216,LN002781,5,2024-04-19,755.48,ON_TIME
PE0013041,LN002709,14,2023-07-26,1272.06,ON_TIME
PE0014559,LN000408,30,2025-01-03,809.49,ON_TIME
PE0011998,LN001428,14,2025-02-02,1178.04,ON_TIME
PE0010330,LN001513,60,2027-12-18,298.88,ON_TIME
PE0017282,LN002101,13,2023-09-11,563.33,ON_TIME
PE0016939,LN002930,30,2026-03-21,191.96,LATE
PE0016989,LN000183,8,2024-08-09,938.53,ON_TIME
PE0012039,LN002853,36,2024-06-23,292.91,ON_TIME
PE0022590,LN001440,23,2025-04-29,827.44,ON_TIME
PE0012211,LN002395,19,2024-05-08,943.34,ON_TIME
PE0018080,LN000206,36,2024-08-06,144.57,ON_TIME
PE0012189,LN002789,57,2026-07-01,158.49,ON_TIME
PE0019435,LN003235,6,2021-09-07,25.53,ON_TIME
PE0017076,LN002760,1,2021-05-24,528.83,ON_TIME
PE0013745,LN001539,4,2021-08-05,40.67,ON_TIME
PE0018540,LN002427,55,2025-07-19,490.22,ON_TIME
PE0008828,LN001939,2,2023-12-18,592.72,ON_TIME
PE0021789,LN001753,39,2025-10-11,34.66,ON_TIME
PE0003383,LN001625,2,2021-05-20,959.13,ON_TIME
PE0004703,LN000093,8,2024-01-12,749.87,ON_TIME
PE0000424,LN000686,26,2024-06-26,455.18,ON_TIME
PE0000211,LN002594,1,2022-04-26,23.7,ON_TIME
PE0020193,LN001888,7,2022-06-17,598.14,ON_TIME
PE0000200,LN003340,12,2023-02-19,326.27,ON_TIME
PE0019572,LN001255,7,2024-04-05,820.96,ON_TIME
PE0018188,LN003437,13,2023-12-07,331.78,ON_TIME
PE0012524,LN000816,22,2023-07-05,880.59,ON_TIME
PE0009464,LN001558,31,2025-03-17,420.69,ON_TIME
PE0014003,LN003468,1,2021-06-03,165.63,ON_TIME
PE0022046,LN002111,14,2022-11-05,282.53,ON_TIME
PE0008952,LN003174,10,2024-04-30,71.24,ON_TIME
PE0021075,LN002442,22,2024-06-02,437.49,ON_TIME
PE0014778,LN002689,5,2023-10-30,1282.89,ON_TIME
PE0018408,LN000888,32,2024-12-14,708.39,ON_TIME
PE0005534,LN002318,30,2025-05-18,707.5,ON_TIME
PE0018342,LN003105,50,2026-04-09,922.02,ON_TIME
PE0015944,LN000497,12,2023-03-14,375.05,ON_TIME
PE0006483,LN001132,12,2022-11-30,617.71,ON_TIME
PE0021310,LN001177,5,2021-12-09,239.81,ON_TIME
PE0005116,LN000146,11,2022-07-16,966.01,ON_TIME
PE0010512,LN002737,4,2021-12-06,727.55,ON_TIME
PE0006663,LN001196,6,2023-11-23,902.66,ON_TIME
PE0005497,LN001627,29,2024-09-12,688.32,ON_TIME
PE0010355,LN002840,19,2023-11-22,397.67,ON_TIME
PE0020156,LN002517,30,2023-06-22,693.02,ON_TIME
PE0004686,LN001493,8,2024-08-24,753.01,ON_TIME
PE0017744,LN001115,12,2022-04-24,332.95,ON_TIME
PE0001088,LN002189,7,2021-12-30,304.99,LATE
PE0018604,LN000883,59,2025-11-16,85.68,ON_TIME
PE0009153,LN000129,4,2023-12-18,1054.31,ON_TIME
PE0008060,LN002225,1,2021-11-22,601.99,ON_TIME
PE0005333,LN003073,3,2023-09-13,572.56,ON_TIME
PE0008973,LN003174,31,2026-01-20,72.48,ON_TIME
PE0022746,LN000272,17,2023-04-18,1215.89,ON_TIME
PE0015565,LN002792,28,2025-08-21,1179.06,LATE
PE0006346,LN002061,31,2025-03-14,395.19,ON_TIME
PE0010710,LN001276,22,2024-01-13,169.09,ON_TIME
PE0013882,LN000426,9,2022-06-21,118.62,ON_TIME
PE0005930,LN003018,4,2023-03-03,622.91,ON_TIME
PE0022023,LN000471,51,2026-05-30,586.26,ON_TIME
PE0013292,LN000628,56,2026-04-01,867.59,ON_TIME
PE0002684,LN003135,10,2021-12-09,1217.06,ON_TIME
PE0017446,LN001418,19,2022-10-26,551.46,ON_TIME
PE0020770,LN001516,31,2025-10-31,809.69,ON_TIME
PE0017196,LN000336,27,2025-10-16,911.48,ON_TIME
PE0003508,LN002505,58,2026-07-27,582.16,ON_TIME
PE0005164,LN000570,43,2027-01-06,163.84,ON_TIME
PE0010263,LN002620,29,2026-01-27,491.69,ON_TIME
PE0012929,LN001724,10,2024-09-19,1169.74,ON_TIME
PE0002767,LN003453,4,2024-02-26,265.69,ON_TIME
PE0023390,LN000977,21,2023-02-22,238.85,ON_TIME
PE0009000,LN001523,22,2025-01-04,446.05,ON_TIME
PE0005215,LN001882,34,2025-04-19,307.31,ON_TIME
PE0021264,LN003422,24,2023-04-10,982.1,ON_TIME
PE0005842,LN001613,1,2023-01-13,1005.87,ON_TIME
PE0008686,LN002504,7,2023-04-22,112.07,ON_TIME
PE0011013,LN001823,13,2024-03-27,393.16,ON_TIME
PE0008083,LN000732,8,2023-08-11,54.09,ON_TIME
PE0001203,LN001250,9,2023-08-01,507.25,ON_TIME
PE0019668,LN000528,37,2024-08-21,768.28,ON_TIME
PE0000697,LN003451,21,2024-10-23,119.36,ON_TIME
PE0009702,LN002995,12,2024-08-20,1122.7,ON_TIME
PE0011863,LN000287,27,2025-10-02,60.83,ON_TIME
PE0006804,LN000905,35,2024-09-12,1330.5,ON_TIME
PE0008165,LN001413,7,2022-11-11,250.33,ON_TIME
PE0020572,LN003447,8,2024-01-21,1192.11,ON_TIME
PE0015121,LN000593,18,2023-02-12,752.6,ON_TIME
PE0011072,LN001438,12,2022-02-13,162.1,ON_TIME
PE0014295,LN000842,2,2023-03-29,1023.59,ON_TIME
PE0013513,LN001289,36,2024-12-15,333.62,ON_TIME
PE0010017,LN000801,3,2022-02-04,836.98,ON_TIME
PE0020348,LN000981,12,2022-04-12,201.3,ON_TIME
PE0021368,LN000498,3,2021-09-28,1297.49,ON_TIME
PE0005571,LN001185,7,2021-09-14,878.96,ON_TIME
PE0021544,LN001704,20,2024-06-24,53.12,ON_TIME
PE0021479,LN001648,2,2023-10-04,860.02,ON_TIME
PE0002042,LN000825,10,2024-10-05,933.66,ON_TIME
PE0017069,LN002625,54,2027-03-20,570.56,ON_TIME
PE0005928,LN003018,2,2023-01-02,631.53,ON_TIME
PE0001064,LN001313,9,2024-07-30,801.06,ON_TIME
PE0009283,LN001803,2,2021-04-28,1033.25,ON_TIME
PE0011574,LN001757,3,2022-04-10,856.57,ON_TIME
PE0000504,LN002057,10,2022-07-20,1008.37,ON_TIME
PE0015317,LN002848,2,2022-11-19,683.18,ON_TIME
PE0001676,LN002950,8,2023-08-09,301.48,ON_TIME
PE0018224,LN000032,21,2024-11-29,1009.3,ON_TIME
PE0008082,LN000732,7,2023-07-12,55.72,ON_TIME
PE0010338,LN002840,2,2022-06-30,380.03,ON_TIME
PE0007684,LN002082,6,2022-09-29,213.3,ON_TIME
PE0009377,LN002540,28,2024-09-04,675.46,ON_TIME
PE0021059,LN002442,6,2023-02-08,428.14,ON_TIME
PE0012951,LN002708,7,2022-04-23,291.92,ON_TIME
PE0002623,LN002453,21,2025-03-10,140.26,ON_TIME
PE0002716,LN001702,6,2023-01-14,888.26,ON_TIME
PE0017018,LN002625,3,2023-01-10,547.81,ON_TIME
PE0016116,LN002054,58,2026-02-12,254.09,ON_TIME
PE0005332,LN003073,2,2023-08-14,574.27,ON_TIME
PE0006690,LN000549,17,2024-07-16,416.54,ON_TIME
PE0017041,LN002625,26,2024-11-30,591.74,ON_TIME
PE0008623,LN002423,4,2022-04-10,705.52,ON_TIME
PE0012134,LN002789,2,2021-12-24,152.81,ON_TIME
PE0006922,LN001563,17,2022-08-28,387.75,ON_TIME
PE0000281,LN001845,11,2024-09-18,639.75,ON_TIME
PE0018111,LN003387,27,2025-01-12,71.49,ON_TIME
PE0011450,LN002589,13,2024-01-07,364.63,ON_TIME
PE0021274,LN003422,34,2024-02-04,1018.0,ON_TIME
PE0003659,LN000033,25,2024-08-29,450.9,ON_TIME
PE0013742,LN001539,1,2021-05-07,43.28,ON_TIME
PE0008031,LN002416,8,2023-07-25,926.73,ON_TIME
PE0008798,LN003118,8,2023-12-06,927.05,ON_TIME
PE0003734,LN001273,25,2023-07-13,675.49,ON_TIME
PE0021729,LN001236,51,2025-08-23,795.18,ON_TIME
PE0000470,LN001908,12,2023-09-05,73.84,ON_TIME
PE0021794,LN001753,44,2026-03-10,34.65,ON_TIME
PE0022153,LN000892,25,2024-04-29,126.86,ON_TIME
PE0000168,LN002818,16,2022-05-30,1378.01,ON_TIME
PE0023458,LN003015,29,2026-01-27,149.47,ON_TIME
PE0017931,LN003409,16,2025-01-12,610.35,ON_TIME
PE0019434,LN003235,5,2021-08-08,27.16,ON_TIME
PE0020817,LN000381,23,2025-01-17,549.98,ON_TIME
PE0015394,LN001794,2,2023-12-17,1175.79,ON_TIME
PE0011604,LN001757,33,2024-09-26,857.56,ON_TIME
PE0023174,LN001092,30,2023-09-01,377.04,ON_TIME
PE0008289,LN002983,11,2023-10-27,880.56,ON_TIME
PE0000248,LN002594,38,2025-05-10,24.27,ON_TIME
PE0013749,LN001539,8,2021-12-03,41.77,LATE
PE0006919,LN001563,14,2022-05-30,383.67,LATE
PE0020658,LN002015,24,2025-04-29,405.68,ON_TIME
PE0008986,LN001523,8,2023-11-11,460.79,ON_TIME
PE0001148,LN002587,7,2023-03-02,243.41,ON_TIME
PE0017785,LN003291,17,2024-02-23,305.03,ON_TIME
PE0018730,LN000595,26,2024-02-27,1083.48,ON_TIME
PE0009040,LN000856,2,2024-02-26,779.01,ON_TIME
PE0018529,LN002427,44,2024-08-23,481.93,ON_TIME
PE0010366,LN002840,30,2024-10-17,381.43,ON_TIME
PE0018139,LN002262,11,2022-11-25,774.44,ON_TIME
PE0008758,LN000486,34,2026-08-26,493.96,LATE
PE0000682,LN003451,6,2023-07-31,121.08,ON_TIME
PE0011716,LN003423,19,2023-02-01,200.43,ON_TIME
PE0001428,LN002821,7,2023-10-26,77.86,ON_TIME
PE0007517,LN002181,12,2022-03-21,1136.87,ON_TIME
PE0010045,LN002437,1,2021-05-01,604.27,LATE
PE0009069,LN003286,28,2024-01-31,507.45,ON_TIME
PE0007886,LN002487,11,2024-06-22,755.31,ON_TIME
PE0007305,LN002975,25,2023-06-23,147.61,ON_TIME
PE0011656,LN002373,25,2023-08-10,669.71,ON_TIME
PE0000972,LN003301,29,2023-10-18,356.79,ON_TIME
PE0001890,LN001337,57,2027-01-05,62.31,ON_TIME
PE0002146,LN000706,38,2025-01-16,562.2,ON_TIME
PE0018871,LN002797,5,2022-08-18,945.47,ON_TIME
PE0015402,LN001794,10,2024-08-13,1157.44,ON_TIME
PE0020045,LN000319,5,2021-11-16,335.04,ON_TIME
PE0014619,LN001611,2,2023-02-01,54.21,ON_TIME
PE0006291,LN000937,50,2022-07-16,341.55,ON_TIME
PE0003922,LN000443,40,2026-01-26,321.65,ON_TIME
PE0003051,LN000022,22,2024-11-24,1275.71,ON_TIME
PE0005218,LN001882,37,2025-07-18,300.05,ON_TIME
PE0007862,LN003448,56,2027-07-18,264.04,ON_TIME
PE0009361,LN002540,12,2023-05-13,678.11,ON_TIME
PE0018267,LN003049,4,2022-04-03,429.9,ON_TIME
PE0021723,LN001236,45,2025-02-24,811.31,ON_TIME
PE0007678,LN000548,7,2022-10-06,585.03,ON_TIME
PE0012218,LN002395,26,2024-12-04,912.8,ON_TIME
PE0020240,LN001888,54,2026-04-27,564.59,ON_TIME
PE0022748,LN000272,19,2023-06-17,1137.38,ON_TIME
PE0003227,LN002242,23,2025-10-27,629.74,ON_TIME
PE0013378,LN002846,55,2026-11-25,572.71,ON_TIME
PE0005039,LN002640,25,2023-11-03,1444.64,ON_TIME
PE0000260,LN002594,50,2026-05-05,25.4,ON_TIME
PE0002768,LN003453,5,2024-03-27,267.38,ON_TIME
PE0000521,LN002057,27,2023-12-12,989.89,ON_TIME
PE0013671,LN003348,9,2022-10-02,119.91,ON_TIME
PE0019734,LN002124,43,2026-02-13,192.01,ON_TIME
PE0022039,LN002111,7,2022-04-09,298.51,ON_TIME
PE0006294,LN000937,53,2026-12-11,360.96,ON_TIME
PE0005884,LN001613,43,2026-06-26,970.93,ON_TIME
PE0000517,LN002057,23,2023-08-14,1006.8,ON_TIME
PE0022680,LN000893,29,2024-02-18,1225.57,ON_TIME
PE0008591,LN002606,8,2021-11-29,201.28,ON_TIME
PE0003317,LN003316,5,2023-09-10,434.28,ON_TIME
PE0005260,LN000923,15,2024-02-12,973.35,ON_TIME
PE0008059,LN002416,36,2025-11-11,894.7,ON_TIME
PE0012537,LN000816,35,2024-07-29,881.33,ON_TIME
PE0008899,LN001825,55,2028-04-03,242.58,ON_TIME
PE0004973,LN002281,4,2022-01-21,920.06,ON_TIME
PE0016272,LN000822,27,2024-05-17,402.39,ON_TIME
PE0011618,LN001757,47,2025-11-20,900.02,ON_TIME
PE0005993,LN002627,12,2024-11-30,265.35,ON_TIME
PE0010883,LN002005,34,2023-12-23,541.46,ON_TIME
PE0002865,LN002478,12,2022-08-10,193.18,ON_TIME
PE0004822,LN003086,6,2023-07-11,119.8,ON_TIME
PE0017274,LN002101,5,2023-01-14,585.24,ON_TIME
PE0011267,LN003397,56,2026-05-22,705.75,ON_TIME
PE0021706,LN001236,28,2023-10-03,851.58,ON_TIME
PE0019062,LN003461,15,2023-04-23,1062.51,ON_TIME
PE0020407,LN000564,7,2022-08-07,792.83,ON_TIME
PE0001109,LN002189,28,2023-09-21,306.43,ON_TIME
PE0022414,LN002090,59,2026-08-14,701.98,ON_TIME
PE0005246,LN000923,1,2022-12-19,995.08,ON_TIME
PE0020617,LN001012,19,2024-06-26,1080.88,ON_TIME
PE0006970,LN001153,16,2024-05-02,323.51,ON_TIME
PE0002782,LN001984,3,2023-05-10,893.66,ON_TIME
PE0009004,LN001523,26,2025-05-04,456.2,ON_TIME
PE0000135,LN000484,55,2027-10-11,876.37,ON_TIME
PE0021672,LN001335,56,2027-08-17,836.38,ON_TIME
PE0012910,LN002251,21,2023-12-27,618.76,ON_TIME
PE0005536,LN002318,32,2025-07-17,701.77,LATE
PE0000053,LN001892,23,2023-05-08,749.84,ON_TIME
PE0012571,LN002758,9,2024-04-13,253.69,ON_TIME
PE0018213,LN000032,10,2024-01-04,1052.37,ON_TIME
PE0019962,LN003109,1,2022-06-16,1002.35,ON_TIME
PE0003704,LN000407,10,2022-01-28,118.92,ON_TIME
PE0021280,LN002192,4,2022-10-30,1351.34,ON_TIME
PE0019086,LN002474,12,2023-11-19,582.11,ON_TIME
PE0018652,LN002383,17,2024-08-26,1307.81,ON_TIME
PE0007071,LN003006,6,2024-01-11,677.11,ON_TIME
PE0017052,LN002625,37,2025-10-26,543.77,ON_TIME
PE0022621,LN000238,30,2024-03-15,687.42,ON_TIME
PE0002725,LN001702,15,2023-10-11,944.73,ON_TIME
PE0010991,LN000257,27,2023-06-10,476.33,ON_TIME
PE0018869,LN002797,3,2022-06-19,978.03,ON_TIME
PE0016829,LN000096,9,2022-11-19,845.93,ON_TIME
PE0003841,LN003067,4,2022-05-12,39.71,ON_TIME
PE0018855,LN002073,1,2023-10-28,1327.73,ON_TIME
PE0013243,LN000628,7,2022-03-23,883.97,ON_TIME
PE0007607,LN002392,2,2023-10-01,339.89,ON_TIME
PE0001511,LN002573,20,2023-11-29,187.14,ON_TIME
PE0014965,LN002253,18,2022-09-17,145.53,ON_TIME
PE0001528,LN001127,1,2023-11-13,364.68,ON_TIME
PE0008133,LN001393,11,2022-02-21,753.33,ON_TIME
PE0016240,LN001002,31,2025-08-08,1190.68,ON_TIME
PE0022037,LN002111,5,2022-02-08,283.19,LATE
PE0003078,LN000906,6,2023-03-11,358.02,ON_TIME
PE0011106,LN000500,29,2023-10-07,971.23,ON_TIME
PE0010264,LN002620,30,2026-02-26,480.43,ON_TIME
PE0001600,LN000241,14,2023-05-29,1491.84,ON_TIME
PE0016843,LN000096,23,2024-01-13,814.7,ON_TIME
PE0015703,LN000122,16,2023-12-07,802.88,ON_TIME
PE0021804,LN001753,54,2027-01-04,34.76,ON_TIME
PE0015484,LN001192,1,2022-05-02,128.17,LATE
PE0012491,LN001150,25,2023-03-19,947.48,ON_TIME
PE0015246,LN001635,59,2028-10-08,1014.53,ON_TIME
PE0019286,LN000304,16,2024-01-23,157.5,ON_TIME
PE0005216,LN001882,35,2025-05-19,297.45,ON_TIME
PE0005585,LN003474,5,2023-06-11,377.05,LATE
PE0018894,LN002797,28,2024-07-08,957.58,ON_TIME
PE0018959,LN003065,31,2025-07-19,503.59,ON_TIME
PE0017990,LN001589,6,2022-07-13,755.99,ON_TIME
PE0000030,LN001917,30,2024-01-30,135.34,ON_TIME
PE0010445,LN001862,13,2023-08-12,239.18,ON_TIME
PE0008937,LN001318,15,2024-10-05,488.5,ON_TIME
PE0004310,LN002234,26,2024-12-05,1072.04,ON_TIME
PE0012210,LN002395,18,2024-04-08,928.1,ON_TIME
PE0019618,LN003071,30,2025-02-14,886.53,ON_TIME
PE0005865,LN001613,24,2024-12-03,997.65,ON_TIME
PE0011366,LN001685,23,2024-12-05,685.37,ON_TIME
PE0004105,LN001449,10,2023-03-12,1007.58,LATE
PE0020847,LN000523,20,2024-08-04,1128.62,ON_TIME
PE0001714,LN000637,17,2022-12-08,129.62,ON_TIME
PE0004204,LN002248,35,2025-05-09,809.52,ON_TIME
PE0011861,LN000287,25,2025-08-03,61.54,ON_TIME
PE0011828,LN003251,11,2024-01-25,778.16,ON_TIME
PE0021003,LN001383,21,2024-09-03,517.59,ON_TIME
